formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C7H16O,"het:edges=0-1,0-2,0-3,0-4,1-5,2-6,3-7;types=0,0,0,0,2,0,0,0",alcohol,8,0.0034662256660930747,0.003995433789954338,9.450000000000003,1,"1,1,1,1,2,2,2,4",1,1,,,2.7125000000000004,9.450000000000003,38.83943750000002,176.9546656250001,0.3209547519958227,0.002574278758662541,0.23077215030841075,0.4142098548130012,0.1375947367324404,0.0005517817688537462,0.11195988666457293,0.1934468837420872,0.1420858206453981
C7H16O,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,3-7;types=0,0,0,0,2,0,0,0",alcohol,8,0.009641277169897962,0.007990867579908675,9.525624999999998,1,"1,1,1,1,1,2,3,4",1,1,,,2.7125,9.525624999999998,39.90987500000001,186.38107968750003,0.32152991472935366,0.002910903193488853,0.23098421531827473,0.41421224893308806,0.13697938078438557,0.0005588563735864688,0.11243193450428798,0.19347624503753608,-0.18775422782761522
C7H16O,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,4-7;types=0,0,0,0,0,0,0,2",alcohol,8,0.010398676998279227,0.010273972602739725,9.449999999999996,1,"1,1,1,1,2,2,2,4",1,1,,,2.7124999999999995,9.449999999999992,38.83943749999997,177.17466562499973,0.3210730256972311,0.0026996690246883365,0.22878588934063743,0.4192095729697831,0.13801755379848818,0.0007119549165838493,0.10742722100519204,0.20299681012331552,-0.012064819802092942
C7H16O,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,4-7;types=0,0,0,0,2,0,0,0",ether,8,0.010986624587576281,0.011700913242009132,9.395000000000001,1,"1,1,1,1,2,2,2,4",2,0,,,2.7125000000000004,9.395,38.2893125,173.23134062499997,0.31966207786319223,0.0016286242599842366,0.23055095781370255,0.3559801463095099,0.13677963967724918,0.000290841062807077,0.11119044412376558,0.1706095804010609,0.06298830172227984
C7H16O,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,6-7;types=0,0,0,0,2,0,0,0",alcohol,8,0.020797353996558455,0.021974885844748857,9.449999999999998,1,"1,1,1,1,2,2,2,4",1,1,,,2.7125,9.45,38.839437499999995,176.65216562499998,0.32084785339112837,0.0025015397000954526,0.23262818500620103,0.4142405881332262,0.13740074381311235,0.0005366977883485176,0.11465525486800746,0.19367386006660803,0.05507447929173582
C7H16O,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6,4-7;types=0,0,0,0,0,0,0,2",alcohol,8,0.004820638584951329,0.003995433789954338,9.525625,1,"1,1,1,1,1,2,3,4",1,1,,,2.7124999999999995,9.525625,39.90987499999999,186.60107968749995,0.32164813068530806,0.003035917666522158,0.22899782498655263,0.4192095842964049,0.13740085385449644,0.0007184127964553149,0.1078962429002211,0.20299739689445878,-0.18775420640595059
C7H16O,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6,4-7;types=0,0,0,0,2,0,0,0",ether,8,0.005093200453673062,0.0037100456621004564,9.470625000000002,1,"1,1,1,1,1,2,3,4",2,0,,,2.7125000000000004,9.470625000000002,39.359750000000005,182.65775468750002,0.3202372364470356,0.0019667052788757892,0.2307630145942106,0.35598236762747987,0.13616411042367987,0.00029665256721843314,0.11166214284870014,0.17063515865419904,-0.3168621482057723
C7H16O,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,4-7;types=0,0,0,0,0,0,0,2",alcohol,8,0.009641277169897962,0.01113013698630137,9.525625000000002,1,"1,1,1,1,1,2,3,4",1,1,,,2.712500000000001,9.525625000000002,39.909875000000014,186.4910796875001,0.32158583488637005,0.0029672607797613425,0.2289959717254149,0.416577431127599,0.13717390219715508,0.0006305627413511602,0.10787090379096724,0.19787502250403516,0.1436028728301279
C7H16O,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,5-7;types=0,0,0,0,0,0,2,0",alcohol,8,0.010398676998279226,0.01341324200913242,9.450000000000008,1,"1,1,1,1,2,2,2,4",1,1,,,2.712500000000001,9.450000000000005,38.839437500000024,176.87216562500012,0.32096539032459515,0.002625249167590853,0.2306400437363707,0.41920976014837963,0.13781331114566225,0.0006908446036598141,0.11009688008445358,0.20300239275547743,0.25456382067171607
C7H16O,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,5-7;types=0,0,0,0,2,0,0,0",ether,8,0.010986624587576281,0.010844748858447488,9.395,1,"1,1,1,1,2,2,2,4",2,0,,,2.7125000000000004,9.395000000000003,38.28931250000002,172.9288406250001,0.3195551196171995,0.0015553301533272905,0.23240685940538394,0.35600838258524004,0.13658421623884875,0.0002737795304660579,0.11388261407397499,0.17080499547856554,-0.012997598508531183
C7H16O,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,6-7;types=0,0,0,0,0,0,0,2",alcohol,8,0.010398676998279226,0.010273972602739725,9.450000000000003,1,"1,1,1,1,2,2,2,4",1,1,,,2.7124999999999995,9.449999999999998,38.83943749999998,176.87216562499987,0.3209669293570284,0.0026292114301803677,0.23061550275948176,0.4192735539274131,0.13783567373187225,0.0007079261475477643,0.10988872359768759,0.20348497091002155,-0.012064819802092716
