formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C5H13N,"het:edges=0-1,0-2,0-3,0-4,3-5;types=0,0,0,0,1,0",primary_amine,6,0.03709970840764688,0.03380952380952381,9.025916666666667,1,"1,1,1,1,2,4",,,1,2,2.6316666666666664,9.025916666666667,37.35207316666668,173.49229192500005,0.33116884279137204,0.002564774533420401,0.23471641642446378,0.39269427561674364,0.1427831371457871,0.0003202295140524018,0.11801477986531639,0.1753548556113098,-0.09286657501532969
C5H13N,"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,0,1",primary_amine,6,0.012366569469215575,0.011904761904761904,9.025916666666667,1,"1,1,1,1,2,4",,,1,2,2.6316666666666673,9.025916666666669,37.35207316666668,173.66709192500002,0.3312622681432525,0.0026598283351731435,0.23357991234703201,0.3977264673467302,0.14310683702412766,0.00043175703315795864,0.11541350986374427,0.18442142715828838,-0.03805833800657511
C5H13N,"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,1,0",secondary_amine,6,0.012890773479034084,0.012857142857142857,8.982216666666666,1,"1,1,1,1,2,4",,,2,1,2.631666666666666,8.982216666666663,36.91456716666665,170.52957414166656,0.3301441662079457,0.0018708110608742733,0.2345850496072136,0.35731212986449834,0.1421396053071985,0.00014994358939724955,0.11755678549978268,0.15486614542430965,-0.0026122998043609405
C5H13N,"het:edges=0-1,0-2,0-3,1-4,2-5;types=0,0,0,1,0,0",primary_amine,6,0.045575901910173834,0.048095238095238094,8.809316666666662,1,"1,1,1,2,2,3",,,1,2,2.6316666666666664,8.809316666666666,34.16845216666666,144.22504915166667,0.32968771167502064,0.0018795271724538784,0.26459672005330276,0.3950635676524417,0.14449355540070224,0.0003411213255682807,0.12364653181743293,0.17945223913565045,0.05380406101219242
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,0,0,1",primary_amine,6,0.09115180382034602,0.09238095238095238,8.809316666666668,1,"1,1,1,2,2,3",,,1,2,2.6316666666666664,8.809316666666666,34.16845216666666,144.31244915166664,0.32973775911203856,0.0019341383876426935,0.2633316823155245,0.39775806066588615,0.14467961932012077,0.00041099235349909756,0.12061784765930773,0.1846522800807237,0.013394523677706962
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,1,0,0",secondary_amine,6,0.09501561918027723,0.09047619047619047,8.765616666666665,1,"1,1,1,2,2,3",,,2,1,2.6316666666666664,8.765616666666665,33.730946166666655,141.2623313683333,0.32865778085644476,0.0011701552589527652,0.26445254264854545,0.3573436753582687,0.1438229848542298,0.0001546479261494299,0.12311736875021036,0.15819241744840457,-0.04895456255111543
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=1,0,0,0,0,0",tertiary_amine,6,0.04952160851366782,0.04476190476190476,8.721916666666665,1,"1,1,1,2,2,3",,,3,0,2.631666666666667,8.721916666666665,33.21871316666667,137.129511125,0.327835860156568,0.000784119372505036,0.29161878287453663,0.35592959159961657,0.14330184391099252,4.9226944965579045e-05,0.1342312103150896,0.15032379882267816,-0.10105167026249279
C5H13N,"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,0,0,1",primary_amine,6,0.04111997897960239,0.041428571428571426,8.917616666666666,1,"1,1,1,1,3,3",,,1,2,2.631666666666667,8.917616666666666,35.66766616666666,157.19600656833333,0.3306148458603139,0.002421201474111528,0.26358919985416673,0.3950663336773644,0.1437106865553275,0.00036242904361708596,0.12124099749587174,0.1794880518699939,0.007476663793719691
C5H13N,"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,1,0,0",tertiary_amine,6,0.022339958352678924,0.022857142857142857,8.830216666666672,1,"1,1,1,1,3,3",,,3,0,2.6316666666666677,8.830216666666672,34.7179271666667,150.10046854166683,0.32876802260547383,0.0013389857132900867,0.2645873646421405,0.35466401195048797,0.14254355489904738,7.81801615799983e-05,0.12334731565628865,0.14883559425369478,0.02288673577528502
C5H13N,"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,0,0,0,1",primary_amine,6,0.045575901910173834,0.05095238095238095,8.809316666666662,1,"1,1,1,2,2,3",,,1,2,2.6316666666666664,8.809316666666662,34.16845216666664,144.0958491516665,0.32965383637105306,0.0018718883146942476,0.2655263310233358,0.3977923203855909,0.14451569222857588,0.00039634639340296564,0.12399551093457878,0.18491669034197378,0.11151237746692813
C5H13N,"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,1,0,0,0",secondary_amine,6,0.04750780959013938,0.04904761904761905,8.765616666666665,1,"1,1,1,2,2,3",,,2,1,2.6316666666666664,8.765616666666663,33.730946166666634,141.13313136833315,0.32861676345930285,0.0011443899052959372,0.2655403789290924,0.35737788429450495,0.14379223173785116,0.00016993421764215238,0.124113285284151,0.16217739750359014,0.03189753288909608
C5H13N,"het:edges=0-1,0-2,1-3,2-4,2-5;types=0,0,0,0,0,1",primary_amine,6,0.09115180382034654,0.10047619047619048,8.80931666666666,1,"1,1,1,2,2,3",,,1,2,2.6316666666666655,8.80931666666666,34.16845216666663,144.00844915166647,0.32960378993405465,0.0018172163422069607,0.2668079257917033,0.39509788026971254,0.14432967468947366,0.0003258786617919272,0.12717971083339472,0.17971789010608338,0.09739449721830397
