formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C4H10O,"het:edges=0-1,0-2,0-3,0-4;types=0,0,0,0,2",alcohol,5,0.02534604770098728,0.0292022792022792,8.691439999999998,1,"1,1,1,1,4",1,1,,,2.5599999999999996,8.691439999999997,36.323204799999985,171.80108688799993,0.3418848538563283,0.003405589771666241,0.2374005948580706,0.41836772247533677,0.14969564777550573,0.000638359610848571,0.12290087409897453,0.1978763992177061,0.14162394723989455
C4H10O,"het:edges=0-1,0-2,0-3,2-4;types=0,0,0,2,0",alcohol,5,0.19467008966067778,0.1858974358974359,8.431519999999995,1,"1,1,1,2,3",1,1,,,2.56,8.431520000000003,32.50285960000002,136.99959556000013,0.3402286028276532,0.0027103477053036593,0.26759774001383635,0.42082862897978607,0.15202987924645692,0.0006967827167261114,0.12937762041128348,0.20236465087399896,-0.046111175917379246
C4H10O,"het:edges=0-1,0-2,0-3,3-4;types=0,0,0,0,2",alcohol,5,0.09733504483033871,0.09686609686609686,8.431519999999999,1,"1,1,1,2,3",1,1,,,2.5599999999999996,8.431519999999999,32.502859599999994,137.16375555999994,0.3403230996418422,0.00281338655435125,0.26558103460771054,0.42358654401007373,0.1523750866266078,0.0008273024243438995,0.12443221231530162,0.207716081662193,-0.004829517136750454
C4H10O,"het:edges=0-1,0-2,0-3,3-4;types=0,0,0,2,0",ether,5,0.10522859693211498,0.11965811965811966,8.349440000000001,1,"1,1,1,2,3",2,0,,,2.56,8.34944,31.697114799999998,131.62454528799995,0.3382146519634809,0.001259802363740179,0.26736710966731897,0.3586341828357092,0.15060601767978438,0.00024130571136928534,0.12850663258529837,0.17603377511022944,0.12850357533474271
C4H10O,"het:edges=0-1,0-2,1-3,2-4;types=0,0,0,0,2",alcohol,5,0.2202511041298001,0.2150997150997151,8.301559999999998,1,"1,1,2,2,2",1,1,,,2.5599999999999996,8.301559999999998,30.703802799999984,121.5986066599999,0.3391993683562379,0.0021661336442560897,0.30307374212243315,0.42362160807565985,0.15329102843886228,0.000789658881623867,0.13131170616022453,0.20799397342229867,-0.023666565998881273
C4H10O,"het:edges=0-1,0-2,1-3,2-4;types=0,0,2,0,0",ether,5,0.23811274449738765,0.2378917378917379,8.21947999999999,1,"1,1,2,2,2",2,0,,,2.5599999999999987,8.219479999999995,29.89805799999998,116.2235563879999,0.33717295504655687,0.0006792027638093986,0.3050722988194267,0.36106095935329235,0.15178234559606646,0.0002698635251063114,0.13552151158848003,0.18033718730451434,-0.0009285905018906496
C4H10O,"het:edges=0-1,0-2,1-3,2-4;types=2,0,0,0,0",ether,5,0.1190563722486936,0.11538461538461539,8.219479999999995,1,"1,1,2,2,2",2,0,,,2.5599999999999996,8.219479999999999,29.898057999999985,116.05939638799991,0.337078977346819,0.0005815926368327054,0.3075614637386493,0.35832458604926803,0.15144324605844411,0.00016154114781718988,0.14035791836732975,0.17512437757636223,-0.03132606742287719
