formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C7H17N,"het:edges=0-1,0-2,0-3,0-4,1-5,2-6,3-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.0029796929434307952,0.0025684931506849314,9.314337499999999,1,"1,1,1,1,2,2,2,4",,,1,2,2.6887499999999998,9.3143375,38.152468875000004,173.53428298375005,0.3243643879757411,0.0022506294963524883,0.2307210700534117,0.39263051893172984,0.14023327823541562,0.00033911827416080817,0.11173452257981967,0.17487781880094272,-0.14850079810089784
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,3-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.008275247206871754,0.006563926940639269,9.3955625,1,"1,1,1,1,1,2,3,4",,,1,2,2.6887499999999998,9.3955625,39.27687937500001,183.26250104625007,0.32505264742745343,0.0026522714484403694,0.23095541408832293,0.39263309467351915,0.13962201785671047,0.0003431125935630635,0.11227667523734118,0.17490944718139695,-0.23167972039860008
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.00893907883029258,0.0091324200913242,9.314337499999995,1,"1,1,1,1,2,2,2,4",,,1,2,2.688749999999999,9.314337499999995,38.15246887499997,173.6653829837498,0.32443534937997814,0.0023249792069537758,0.22958683685623915,0.39772607753499506,0.14048885759221258,0.00043221686041129324,0.10916507460207509,0.18440966417925397,0.021398182597864395
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,4-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.009221786614381645,0.008561643835616438,9.281562499999998,1,"1,1,1,1,2,2,2,4",,,2,1,2.6887499999999998,9.281562499999998,37.82433937499998,171.31224464624992,0.32359595525028706,0.0017202468369579961,0.23058986960359645,0.3573117403967155,0.13975246981032835,0.00021120808433003815,0.11128061262669886,0.1544568113686614,-0.0742765778105152
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,6-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.01787815766057797,0.01598173515981735,9.314337499999997,1,"1,1,1,1,2,2,2,4",,,1,2,2.6887499999999998,9.314337499999997,38.15246887499998,173.20938298374995,0.3242445075606035,0.0021646250254452153,0.23268951924335293,0.39266219624217835,0.13999468365993767,0.0003113496734106025,0.11467315290779775,0.1751101360553764,-0.11213320102065304
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.004137623603436905,0.00228310502283105,9.3955625,1,"1,1,1,1,1,2,3,4",,,1,2,2.68875,9.3955625,39.27687937500001,183.39360104625,0.32512357263269664,0.002726370741144765,0.22982109995236594,0.39772608977228885,0.13987674023680774,0.0004357706387344509,0.10970530630505193,0.18441030183905582,-0.5945850492784169
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6,4-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.004268480308307675,0.0037100456621004564,9.362787500000001,1,"1,1,1,1,1,2,3,4",,,2,1,2.6887500000000006,9.362787500000001,38.948749875000004,181.04046270875,0.3242842120092652,0.0021229266394229038,0.23082420830707137,0.3573117526251386,0.1391410951656124,0.0002144406056105604,0.11182253598847913,0.15448426105433807,-0.1402136445490255
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.008275247206871672,0.0091324200913242,9.395562500000004,1,"1,1,1,1,1,2,3,4",,,1,2,2.6887500000000006,9.395562500000004,39.27687937500002,183.3280510462501,0.3250861117519441,0.0026854393480136036,0.22981998723455502,0.39503688626878836,0.13973902487116127,0.0003843006892087596,0.10968997144230466,0.17927651633403358,0.09856192362416612
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,4-7;types=0,0,0,0,1,0,0,0",tertiary_amine,8,0.004403475494309903,0.0037100456621004564,9.330012499999997,1,"1,1,1,1,1,2,3,4",,,3,0,2.6887499999999998,9.330012499999997,38.56457512499998,177.94084752624994,0.3236749769878428,0.0018421994061816561,0.23071160474908498,0.35588362130422546,0.13878571066299975,0.00014882802862977947,0.11146973902642837,0.14996555130461758,-0.17134988736712017
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,5-7;types=0,0,0,0,0,0,1,0",primary_amine,8,0.00893907883029258,0.010844748858447488,9.314337499999999,1,"1,1,1,1,2,2,2,4",,,1,2,2.6887499999999998,9.314337499999999,38.152468875000004,173.34048298375004,0.32431502560634795,0.0022379604164670893,0.23155415610124006,0.39772627173550124,0.14024403113203382,0.0004008033919607143,0.11208811716277031,0.18441545856001845,0.19324842223505165
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,5-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.009221786614381574,0.010273972602739725,9.281562500000001,1,"1,1,1,1,2,2,2,4",,,2,1,2.6887500000000006,9.281562500000001,37.824339375,170.98734464625,0.3234760376613738,0.0016338846602395026,0.23255823592782815,0.357311934425652,0.1395129744868437,0.00018217676404166797,0.11421723446540241,0.1546559835258178,0.10804495951678261
