formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C7H17N,"het:edges=0-1,0-2,0-3,0-4,1-5,2-6,3-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.002979079008020074,0.0025684931506849314,9.5259375,1,"1,1,1,1,2,2,2,4",,,1,2,2.73125,9.525937500000001,39.126453125000005,178.18205234375006,0.3172098637319432,0.0020046811152940472,0.2299927999355853,0.38505864976623244,0.1342070412783563,0.0002832898652190895,0.11005894260075066,0.1685023655204212,-0.14829473711657598
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,3-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.008286282889285592,0.007990867579908675,9.601562499999998,1,"1,1,1,1,1,2,3,4",,,1,2,2.73125,9.6015625,40.196890624999995,187.60846640625,0.3177850042823822,0.0023455183592951865,0.23020481542858148,0.3850609883184295,0.1335911488117399,0.00028568523246397487,0.11052979539359375,0.16853024879392559,-0.03630214214295675
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.008937237024061323,0.007134703196347032,9.525937500000001,1,"1,1,1,1,2,2,2,4",,,1,2,2.7312499999999997,9.525937499999998,39.12645312499999,178.31955234374993,0.3172822352754115,0.0020786950014613764,0.22877643150193566,0.3898530468923699,0.1344589240976941,0.0003701980322586901,0.10734391986710805,0.1772000663808943,-0.22525580364333656
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,4-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.009249795874932428,0.009703196347031963,9.4915625,1,"1,1,1,1,2,2,2,4",,,2,1,2.7312499999999993,9.491562499999999,38.77489062499998,175.7617164062499,0.3164391289200376,0.001480900909159798,0.22985793644861263,0.3470044285732313,0.1337696222598181,0.00016831951715328723,0.10960340922959855,0.1508978304011483,0.04785386278437782
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,6-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.017874474048105788,0.018835616438356163,9.525937499999998,1,"1,1,1,1,2,2,2,4",,,1,2,2.73125,9.5259375,39.126453125000005,177.87955234375002,0.3171026808719532,0.0019304510614544437,0.231848112622401,0.3850885622392086,0.13400891462794096,0.0002639943245173333,0.11274408126366164,0.16871647468362125,0.05237590183250079
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.004143141444643737,0.003424657534246575,9.601562499999996,1,"1,1,1,1,1,2,3,4",,,1,2,2.73125,9.6015625,40.196890625000016,187.74596640625015,0.3178573401582421,0.0024193025683980603,0.22898836696573566,0.38985305801908987,0.13384221335889399,0.00037223650137725153,0.10781292336452901,0.17720063123865176,-0.19045277579468595
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6,4-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.0042880380749385424,0.003424657534246575,9.567187500000001,1,"1,1,1,1,1,2,3,4",,,2,1,2.73125,9.567187500000001,39.845328125,185.18813046875002,0.31701426691638085,0.0018226063632477692,0.23006994686733767,0.34700443969151173,0.13315362509793563,0.00017002816959507102,0.1100740501859664,0.15092217519988063,-0.22482776763876158
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.008286282889285592,0.008276255707762557,9.601562499999998,1,"1,1,1,1,1,2,3,4",,,1,2,2.73125,9.6015625,40.19689062500001,187.67721640625004,0.3178192143470582,0.0023787078284856203,0.22898722207243155,0.3873280884295017,0.1337069725676126,0.00032449734667514034,0.10779747895068059,0.17253275178287336,-0.0012108266469570694
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,4-7;types=0,0,0,0,1,0,0,0",tertiary_amine,8,0.004438002124185057,0.003424657534246575,9.5328125,1,"1,1,1,1,1,2,3,4",,,3,0,2.73125,9.5328125,39.437046874999986,181.86321640624988,0.31639726034479076,0.0015357483248145056,0.22995347653465276,0.3454867061284178,0.1328230053793672,0.00010670859318600532,0.10971565909122279,0.14155137488561942,-0.2592027597587252
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,5-7;types=0,0,0,0,0,0,1,0",primary_amine,8,0.008937237024061323,0.007705479452054794,9.525937500000001,1,"1,1,1,1,2,2,2,4",,,1,2,2.73125,9.5259375,39.12645312499998,178.0170523437499,0.3171745981653219,0.002003446420580135,0.23063058256985733,0.38985323038666386,0.1342545789435062,0.00034742890351048273,0.11001338851021825,0.17720541931938616,-0.14829477288942902
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,5-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.009249795874932428,0.008276255707762557,9.4915625,1,"1,1,1,1,2,2,2,4",,,2,1,2.73125,9.4915625,38.774890625,175.45921640624996,0.3163319094283363,0.0014063389386934385,0.23171316719537025,0.347004611898046,0.1335706351539364,0.0001479209664696445,0.11228661372943136,0.1510826620998565,-0.11121081407654886
