formula,seeds_n,min_coverage,max_kl_exact_emp,max_coll_cross_pairs_strict,min_fp_best_auc_best,min_fp_best_auc_gap,max_neg_auc_any,gate_pass
C4H10O,10,1.0,0.00231992789365687,0.0,1.0,0.0932541371173562,0.7080595360844175,False
C4H11N,10,1.0,0.007977139077839151,0.0,1.0,0.0932541371173562,0.7080595360844174,False
C5H12O,10,1.0,0.005025762885891096,0.0,1.0,0.12767511188809333,0.5633955408958484,True
C5H13N,10,1.0,0.005288703936575617,0.0,1.0,0.12767511188809433,0.5633955408958474,True
C6H14O,10,1.0,0.007888100581000548,0.0,1.0,0.16292245482321877,0.5650656861832987,True
C6H15N,10,1.0,0.011337351397694907,0.0,1.0,0.16292245482321788,0.5650656861832992,True
C7H16O,10,1.0,0.013254143289385435,0.0,0.9999999999999999,0.2017433508762374,0.5187936758231857,True
C7H17N,10,1.0,0.016905554834724633,0.0,1.0,0.20174335087624307,0.5187936758230464,True
