seed,formula,coverage_unique_eq,kl_exact_emp,coll_cross_pairs_strict,fp_best_auc_best,fp_best_auc_gap,fp_neg_auc_best_perm_labels,fp_neg_auc_best_rand_fp,max_neg_auc
0,C4H10O,1.0,0.0013523018244758628,0.0,1.0,0.0932541371173562,0.3023709605676434,0.7080595360844175,0.7080595360844175
0,C5H12O,1.0,0.003442039350575417,0.0,1.0,0.12767511188809333,0.2647490248597003,0.5633955408958484,0.5633955408958484
0,C4H11N,1.0,0.001402532343458383,0.0,1.0,0.0932541371173562,0.3079390550367453,0.7080595360844174,0.7080595360844174
0,C5H13N,1.0,0.005288703936575617,0.0,1.0,0.12767511188809433,0.21603300551472043,0.5633955408958474,0.5633955408958474
0,C6H14O,1.0,0.00750782463669159,0.0,1.0,0.16292245482321877,0.4399341623617603,0.5650656861832987,0.5650656861832987
0,C7H16O,1.0,0.00984535486905977,0.0,0.9999999999999999,0.2017433508762374,0.44973900871456884,0.5187936758231857,0.5187936758231857
0,C6H15N,1.0,0.006354209805725078,0.0,1.0,0.16292245482321788,0.4563070259322218,0.5650656861832992,0.5650656861832992
0,C7H17N,1.0,0.013273674714102908,0.0,1.0,0.20174335087624307,0.4514299584357128,0.5187936758230464,0.5187936758230464
1,C4H10O,1.0,0.00231992789365687,0.0,1.0,0.0932541371173562,0.3023709605676434,0.7080595360844175,0.7080595360844175
1,C5H12O,1.0,0.0023949578120882825,0.0,1.0,0.12767511188809333,0.2647490248597003,0.5633955408958484,0.5633955408958484
1,C4H11N,1.0,0.007977139077839151,0.0,1.0,0.0932541371173562,0.3079390550367453,0.7080595360844174,0.7080595360844174
1,C5H13N,1.0,0.0018220004209191026,0.0,1.0,0.12767511188809433,0.21603300551472043,0.5633955408958474,0.5633955408958474
1,C6H14O,1.0,0.007836622501961934,0.0,1.0,0.16292245482321877,0.4399341623617603,0.5650656861832987,0.5650656861832987
1,C7H16O,1.0,0.009564856416875718,0.0,0.9999999999999999,0.2017433508762374,0.44973900871456884,0.5187936758231857,0.5187936758231857
1,C6H15N,1.0,0.005430137656806271,0.0,1.0,0.16292245482321788,0.4563070259322218,0.5650656861832992,0.5650656861832992
1,C7H17N,1.0,0.011481578648224253,0.0,1.0,0.20174335087624307,0.4514299584357128,0.5187936758230464,0.5187936758230464
2,C4H10O,1.0,0.0016738796868330215,0.0,1.0,0.0932541371173562,0.3023709605676434,0.7080595360844175,0.7080595360844175
2,C5H12O,1.0,0.003193135740674516,0.0,1.0,0.12767511188809333,0.2647490248597003,0.5633955408958484,0.5633955408958484
2,C4H11N,1.0,0.0031717149587702966,0.0,1.0,0.0932541371173562,0.3079390550367453,0.7080595360844174,0.7080595360844174
2,C5H13N,1.0,0.005156508312525165,0.0,1.0,0.12767511188809433,0.21603300551472043,0.5633955408958474,0.5633955408958474
2,C6H14O,1.0,0.004016314151191403,0.0,1.0,0.16292245482321877,0.4399341623617603,0.5650656861832987,0.5650656861832987
2,C7H16O,1.0,0.009607902426554281,0.0,0.9999999999999999,0.2017433508762374,0.44973900871456884,0.5187936758231857,0.5187936758231857
2,C6H15N,1.0,0.009658812640383388,0.0,1.0,0.16292245482321788,0.4563070259322218,0.5650656861832992,0.5650656861832992
2,C7H17N,1.0,0.016905554834724633,0.0,1.0,0.20174335087624307,0.4514299584357128,0.5187936758230464,0.5187936758230464
3,C4H10O,1.0,0.002213608540753691,0.0,1.0,0.0932541371173562,0.3023709605676434,0.7080595360844175,0.7080595360844175
3,C5H12O,1.0,0.003315869983994967,0.0,1.0,0.12767511188809333,0.2647490248597003,0.5633955408958484,0.5633955408958484
3,C4H11N,1.0,0.002198962776083429,0.0,1.0,0.0932541371173562,0.3079390550367453,0.7080595360844174,0.7080595360844174
3,C5H13N,1.0,0.0015843719838957294,0.0,1.0,0.12767511188809433,0.21603300551472043,0.5633955408958474,0.5633955408958474
3,C6H14O,1.0,0.005563207484216101,0.0,1.0,0.16292245482321877,0.4399341623617603,0.5650656861832987,0.5650656861832987
3,C7H16O,1.0,0.01056563539144946,0.0,0.9999999999999999,0.2017433508762374,0.44973900871456884,0.5187936758231857,0.5187936758231857
3,C6H15N,1.0,0.007619278318411866,0.0,1.0,0.16292245482321788,0.4563070259322218,0.5650656861832992,0.5650656861832992
3,C7H17N,1.0,0.014293634518047708,0.0,1.0,0.20174335087624307,0.4514299584357128,0.5187936758230464,0.5187936758230464
4,C4H10O,1.0,0.0012692036676038815,0.0,1.0,0.0932541371173562,0.3023709605676434,0.7080595360844175,0.7080595360844175
4,C5H12O,1.0,0.004584824834399526,0.0,1.0,0.12767511188809333,0.2647490248597003,0.5633955408958484,0.5633955408958484
4,C4H11N,1.0,0.0014105681823784958,0.0,1.0,0.0932541371173562,0.3079390550367453,0.7080595360844174,0.7080595360844174
4,C5H13N,1.0,0.002779735278564104,0.0,1.0,0.12767511188809433,0.21603300551472043,0.5633955408958474,0.5633955408958474
4,C6H14O,1.0,0.006781412288966859,0.0,1.0,0.16292245482321877,0.4399341623617603,0.5650656861832987,0.5650656861832987
4,C7H16O,1.0,0.011868149379809786,0.0,0.9999999999999999,0.2017433508762374,0.44973900871456884,0.5187936758231857,0.5187936758231857
4,C6H15N,1.0,0.007359811518801734,0.0,1.0,0.16292245482321788,0.4563070259322218,0.5650656861832992,0.5650656861832992
4,C7H17N,1.0,0.016354079872167433,0.0,1.0,0.20174335087624307,0.4514299584357128,0.5187936758230464,0.5187936758230464
5,C4H10O,1.0,0.001953543633555297,0.0,1.0,0.0932541371173562,0.3023709605676434,0.7080595360844175,0.7080595360844175
