state_id,P_exact,P_emp
"het:edges=0-1,0-2,0-3,0-4,3-5;types=0,0,0,0,1,0",0.036150865266866214,0.03761904761904762
"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,0,1",0.012050288422288665,0.012857142857142857
"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,1,0",0.012616097716964548,0.011904761904761904
"het:edges=0-1,0-2,0-3,1-4,2-5;types=0,0,0,1,0,0",0.045382695852936104,0.04666666666666667
"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,0,0,1",0.0907653917058726,0.08523809523809524
"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,1,0,0",0.09502719030042651,0.09904761904761905
"het:edges=0-1,0-2,0-3,2-4,3-5;types=1,0,0,0,0,0",0.04974454870230675,0.054285714285714284
"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,0,0,1",0.04050461360421359,0.03428571428571429
"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,1,0,0",0.02219881043021547,0.023333333333333334
"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,0,0,0,1",0.045382695852936104,0.04
"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,1,0,0,0",0.04751359515021324,0.047142857142857146
"het:edges=0-1,0-2,1-3,2-4,2-5;types=0,0,0,0,0,1",0.09076539170587343,0.09333333333333334
"het:edges=0-1,0-2,1-3,2-4,2-5;types=0,0,1,0,0,0",0.049744548702306816,0.04904761904761905
"het:edges=0-1,0-2,1-3,2-4,2-5;types=1,0,0,0,0,0",0.047513595150213264,0.05238095238095238
"het:edges=0-1,0-2,1-3,2-4,4-5;types=0,0,0,0,0,1",0.10169651798213132,0.10428571428571429
"het:edges=0-1,0-2,1-3,2-4,4-5;types=0,0,0,0,1,0",0.10647157672711635,0.09904761904761905
"het:edges=0-1,0-2,1-3,2-4,4-5;types=0,0,1,0,0,0",0.10647157672711895,0.10952380952380952
