formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C5H13N,"het:edges=0-1,0-2,0-3,0-4,3-5;types=0,0,0,0,1,0",primary_amine,6,0.03670480100273248,0.04,9.231250000000001,1,"1,1,1,1,2,4",,,1,2,2.6750000000000003,9.231250000000003,38.23893750000002,177.5533697916668,0.32366350961435103,0.00228992536029801,0.23375852895577687,0.3851188541720513,0.13656798105177897,0.00027901764740063863,0.1157994206215027,0.16894201666178352,0.08597188785173747
C5H13N,"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,0,1",primary_amine,6,0.012234933667577618,0.012857142857142857,9.231249999999998,1,"1,1,1,1,2,4",,,1,2,2.6749999999999994,9.231249999999996,38.23893749999997,177.73670312499988,0.32375878592221,0.0023845656060653016,0.2325398260012596,0.38985341521306804,0.1368867882443238,0.000382994741860784,0.11305240901059048,0.17721093310266833,0.049604241969845794
C5H13N,"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,1,0",secondary_amine,6,0.012838138040825176,0.012380952380952381,9.185416666666663,1,"1,1,1,1,2,4",,,2,1,2.6749999999999994,9.185416666666667,37.7701875,174.32625520833335,0.3226357650345455,0.001604102535814591,0.23362350096011175,0.3470047965541677,0.13598241134246888,0.0001257770706199981,0.11533995396102897,0.15127767601264344,-0.03626107918128782
C5H13N,"het:edges=0-1,0-2,0-3,1-4,2-5;types=0,0,0,1,0,0",primary_amine,6,0.04536122040899646,0.05,9.029583333333337,1,"1,1,1,2,2,3",,,1,2,2.6750000000000007,9.02958333333334,35.21806250000003,149.38663645833347,0.32243633752589174,0.0017064348547287695,0.2616558937494792,0.3873534874510436,0.13827312164796082,0.0003007868489137385,0.12044365837279122,0.17269765076129248,0.09736543936507966
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,0,0,1",primary_amine,6,0.09072244081799297,0.08857142857142856,9.029583333333335,1,"1,1,1,2,2,3",,,1,2,2.6750000000000007,9.029583333333337,35.218062500000016,149.4783031250001,0.3224872699820249,0.0017605672405315818,0.2603052122918721,0.38988325487353115,0.13845577199188125,0.00036546878928421967,0.11726878108769656,0.17742383892175206,-0.02399541532623462
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,1,0,0",secondary_amine,6,0.09519522134463435,0.10333333333333333,8.983750000000006,1,"1,1,1,2,2,3",,,2,1,2.6750000000000007,8.983750000000006,34.74931250000002,146.15952187500014,0.3214034336779894,0.0010062390713049306,0.2615082274839705,0.34703458902756035,0.13766206977296427,0.00013318888356985138,0.11991617150774614,0.15435899656251986,0.0820302634060357
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=1,0,0,0,0,0",tertiary_amine,6,0.049944259023159285,0.041428571428571426,8.937916666666666,1,"1,1,1,2,2,3",,,3,0,2.6750000000000007,8.937916666666668,34.20493750000001,141.726303125,0.3205712966104381,0.0006128229321700713,0.2908673334214853,0.3455318932882908,0.13717640505582793,3.278579286706935e-05,0.12912834551115307,0.14189722800896315,-0.18693678597698848
C5H13N,"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,0,0,1",primary_amine,6,0.040804099896374305,0.03238095238095238,9.130416666666667,1,"1,1,1,1,3,3",,,1,2,2.6749999999999994,9.130416666666662,36.645312499999974,161.9551885416665,0.3232113541674874,0.0021661787657360366,0.2605371799334932,0.3873559921690782,0.13747784280948513,0.0003169330033310064,0.11780362107226126,0.17272906760133977,-0.2312121971960618
C5H13N,"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,1,0,0",tertiary_amine,6,0.02246335654173914,0.023809523809523808,9.038750000000002,1,"1,1,1,1,3,3",,,3,0,2.6750000000000003,9.03875,35.63218749999999,154.29485520833327,0.32135125067100495,0.0010847710720865297,0.26161375760688954,0.3445191765061794,0.13640427900076793,5.533071984144489e-05,0.12005420666530305,0.1410137789363798,0.05820027472395761
C5H13N,"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,0,0,0,1",primary_amine,6,0.04536122040899689,0.041428571428571426,9.029583333333326,1,"1,1,1,2,2,3",,,1,2,2.6749999999999994,9.029583333333331,35.21806249999998,149.27663645833323,0.32241244553116977,0.0017072274821431515,0.26236234087133076,0.38991551241957717,0.13832125082370897,0.000356783727808925,0.12030786714676288,0.17766626457435766,-0.09068678799993861
C5H13N,"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,1,0,0,0",secondary_amine,6,0.047597610672318165,0.04380952380952381,8.983749999999999,1,"1,1,1,2,2,3",,,2,1,2.674999999999999,8.983749999999993,34.74931249999996,146.04952187499978,0.32137249885005176,0.0009896418978458425,0.2623773816697865,0.34706679658634615,0.13765958419847435,0.00015322344258525327,0.12043203826261853,0.15801719952577548,-0.08293132988152051
C5H13N,"het:edges=0-1,0-2,1-3,2-4,2-5;types=0,0,0,0,0,1",primary_amine,6,0.09072244081799331,0.09380952380952381,9.029583333333326,1,"1,1,1,2,2,3",,,1,2,2.674999999999999,9.029583333333326,35.21806249999995,149.18496979166636,0.3223615140187834,0.0016530359486695238,0.26373063440445177,0.3873857909765782,0.13813864252608096,0.00029154624476951017,0.1226864773983787,0.17294111309484775,0.03346163906812481
