N,mode,backend,lambda,steps,burnin,thin,chains,n_starts,elapsed_total_sec,steps_total,steps_per_sec_total,energy_cache_hit_rate,accept_rate,kl_max_pairwise,kl_mean_pairwise
7,A,fdm,1.0,2000,200,10,3,2,0.5787535000126809,12000,20734.21586173919,0.999583541562552,0.9395833333333333,0.0060278357646991075,0.005986971580011541
7,A,fdm,1.0,5000,500,10,3,2,1.389453300042078,30000,21591.225843352553,1.0,0.9394333333333333,0.0009844503294765194,0.0009752374025988556
7,A,fdm,1.0,10000,1000,10,3,2,2.696431100019254,60000,22251.634762546528,1.0,0.9390666666666667,0.00033289311667559617,0.00032990698506201333
7,A,fdm,1.0,20000,2000,10,3,2,5.430647199973464,120000,22096.8138016011,1.0,0.9408,6.800000229041392e-05,6.795648296426638e-05
