mode,graph_class,graph_id,n_nodes,cyclic,runtime_sec
optimized,large_tree,31.0,98.0,0.0,0.0016050999984145164
optimized,large_tree,32.0,96.0,0.0,0.0015001999563537538
optimized,large_tree,33.0,68.0,0.0,0.001057300018146634
optimized,large_tree,34.0,92.0,0.0,0.0014404000248759985
optimized,large_tree,35.0,70.0,0.0,0.0010989000438712537
optimized,large_tree,36.0,74.0,0.0,0.0011558999540284276
optimized,large_tree,37.0,64.0,0.0,0.0011688999948091805
optimized,large_tree,38.0,74.0,0.0,0.002876000013202429
optimized,large_tree,39.0,65.0,0.0,0.0011922999983653426
optimized,large_tree,40.0,90.0,0.0,0.0016373000107705593
optimized,large_tree,41.0,66.0,0.0,0.001153399993199855
optimized,large_tree,42.0,97.0,0.0,0.0016336999833583832
optimized,large_tree,43.0,88.0,0.0,0.0014838000060990453
optimized,large_tree,44.0,73.0,0.0,0.0012494000256992877
optimized,large_tree,45.0,90.0,0.0,0.0015381999546661973
optimized,large_tree,46.0,96.0,0.0,0.001637800014577806
optimized,large_tree,47.0,96.0,0.0,0.0015750000020489097
optimized,large_tree,48.0,89.0,0.0,0.003083699964918196
optimized,large_tree,49.0,70.0,0.0,0.0014045999851077795
optimized,large_cyclic,0.0,66.0,1.0,4.1990515000070445
optimized,large_cyclic,1.0,73.0,1.0,5.109326200035866
optimized,large_cyclic,2.0,70.0,1.0,4.690743100014515
optimized,large_cyclic,3.0,89.0,1.0,7.406207700027153
optimized,large_cyclic,4.0,68.0,1.0,4.400385999993887
optimized,large_cyclic,5.0,99.0,1.0,9.355452699994203
optimized,large_cyclic,6.0,66.0,1.0,4.165958099998534
optimized,large_cyclic,7.0,97.0,1.0,9.05766529997345
optimized,large_cyclic,8.0,90.0,1.0,8.123652699985541
optimized,large_cyclic,9.0,86.0,1.0,7.2487967000342906
optimized,large_cyclic,10.0,67.0,1.0,4.436703199986368
optimized,large_cyclic,11.0,63.0,1.0,3.94615029997658
optimized,large_cyclic,12.0,73.0,1.0,5.122569900006056
optimized,large_cyclic,13.0,85.0,1.0,7.032929899985902
optimized,large_cyclic,14.0,76.0,1.0,5.588878599985037
optimized,large_cyclic,15.0,90.0,1.0,7.884838400001172
optimized,large_cyclic,16.0,77.0,1.0,5.827619099989533
optimized,large_cyclic,17.0,64.0,1.0,4.058203099993989
optimized,large_cyclic,18.0,79.0,1.0,6.018275799986441
optimized,large_cyclic,19.0,75.0,1.0,5.401529099966865
optimized,large_cyclic,20.0,76.0,1.0,5.651251300005242
optimized,large_cyclic,21.0,97.0,1.0,9.500276900012977
optimized,large_cyclic,22.0,67.0,1.0,4.328151999972761
optimized,large_cyclic,23.0,63.0,1.0,3.9432304999791086
optimized,large_cyclic,24.0,98.0,1.0,9.541933199972846
optimized,large_cyclic,25.0,81.0,1.0,6.403844599961303
optimized,large_cyclic,26.0,62.0,1.0,3.752741399977822
optimized,large_cyclic,27.0,78.0,1.0,5.883442699967418
optimized,large_cyclic,28.0,77.0,1.0,5.745867799967527
optimized,large_cyclic,29.0,88.0,1.0,7.441515500016976
optimized,large_cyclic,30.0,87.0,1.0,7.391197599994484
optimized,large_cyclic,31.0,75.0,1.0,5.506742500001565
optimized,large_cyclic,32.0,70.0,1.0,4.744141400035005
optimized,large_cyclic,33.0,79.0,1.0,6.076085000007879
optimized,large_cyclic,34.0,68.0,1.0,4.488960699993186
optimized,large_cyclic,35.0,89.0,1.0,7.688199300027918
optimized,large_cyclic,36.0,62.0,1.0,3.819628500030376
optimized,large_cyclic,37.0,98.0,1.0,9.313967699999921
optimized,large_cyclic,38.0,85.0,1.0,6.992762100009713
optimized,large_cyclic,39.0,99.0,1.0,9.509956800029613
optimized,large_cyclic,40.0,61.0,1.0,3.705653200042434
optimized,large_cyclic,41.0,62.0,1.0,3.825267400010489
optimized,large_cyclic,42.0,65.0,1.0,4.110372200026177
optimized,large_cyclic,43.0,71.0,1.0,4.987229800026398
optimized,large_cyclic,44.0,83.0,1.0,6.64373660000274
optimized,large_cyclic,45.0,96.0,1.0,8.988510900002439
optimized,large_cyclic,46.0,66.0,1.0,4.222370600036811
optimized,large_cyclic,47.0,87.0,1.0,7.146334399993066
optimized,large_cyclic,48.0,81.0,1.0,6.274715100007597
optimized,large_cyclic,49.0,62.0,1.0,3.721251700015273
