idx,n,cyclomatic,total_off,total_on,t_off_sec,t_on_sec,speedup
0,20,0,6.906679900427841,6.8966723867163156,0.4039801000035368,0.0005046000005677342,800.5947276040661
1,20,0,7.646251314050346,7.6405481756090765,0.3846786000067368,0.0004686000174842775,820.9103407036121
2,20,0,7.392235831716427,7.372997661000291,0.38663200003793463,0.000907299981918186,426.1346938644582
3,20,0,6.749342059659675,6.734115148492183,0.3876877000438981,0.000486500037368387,796.8914085618736
4,20,0,6.97536867681955,6.925122820041095,0.38717179995728657,0.0004754000110551715,814.4126860618735
5,20,0,6.946503320470756,6.929457449522084,0.3814303000108339,0.0004676000098697841,815.7191872537674
6,20,0,6.45974657973144,6.441881345080527,0.3745647000032477,0.0005855000345036387,639.7347189241196
7,20,0,7.455050634500963,7.4528783355118735,0.3860412999638356,0.0011740999761968851,328.79763886401804
8,20,0,7.008218814574658,6.978732402010927,0.4248172999941744,0.00048320001224055886,879.1748535442525
9,20,0,6.037450695737692,6.035592247985372,0.3831332999980077,0.00047959998482838273,798.8601170100243
10,20,0,6.809242324803833,6.807935321612586,0.38618790003238246,0.0007808000082150102,494.60539955070965
11,20,0,7.327377684699241,7.3146832393062144,0.381047300004866,0.00047889997949823737,795.6719906401007
12,20,0,6.42281795756304,6.414444240930294,0.3763609000016004,0.000424700032453984,886.1805303543952
13,20,0,6.533018231980279,6.522676536997187,0.37808399996720254,0.00044819997856393456,843.5609505797195
14,20,0,5.966874861463023,5.953618727544793,0.37095850001787767,0.0004681000136770308,792.4770117050741
15,20,0,6.146056028884923,6.1413497083338475,0.3964491000515409,0.00047830003313720226,828.8711532198826
16,20,0,7.598217701226282,7.58453677867231,0.38303179998183623,0.0004382000188343227,874.1026552229685
17,20,0,6.480075436642685,6.445873024759294,0.3716549999662675,0.0005018999800086021,740.4961441917126
18,20,0,6.1776530266172065,6.166214089874219,0.3855059000197798,0.0004702999722212553,819.7021534979303
19,20,0,7.6162165813639335,7.6093572056769565,0.38091379997786134,0.0004393000272102654,867.092593635424
20,20,0,6.886794443414123,6.880868516563119,0.3745822999626398,0.00045219995081424713,828.3554637459684
21,20,0,5.92675563202053,5.920873822602543,0.384085200028494,0.00042400002712383866,905.8612628727813
22,20,0,6.4660204523142815,6.457222486144788,0.384471700002905,0.000408699968829751,940.7186917674109
23,20,0,6.413334798875409,6.409711290270164,0.3748098000069149,0.000527299998793751,710.8094080491713
24,20,0,6.337575802259749,6.335625043078981,0.38343950000125915,0.0005184999899938703,739.516889876492
25,20,0,6.980684839185222,6.973931479006458,0.3947728999773972,0.00048619997687637806,811.9558180846494
26,20,0,7.2425945011370345,7.233017029015679,0.3921167000080459,0.00045170000521466136,868.0909795909794
27,20,0,7.843815154320203,7.810447526374022,0.3852669000043534,0.0004846000229008496,795.0203916585039
28,20,0,7.138109563726318,7.122597209052744,0.4937637000111863,0.0004982000100426376,991.0953232797574
29,20,0,6.854106398571763,6.846498922135618,0.40874350001104176,0.0004687000182457268,872.0791211848183
30,20,0,5.983166747953105,5.968027949338668,0.42507960001239553,0.0005097999819554389,833.8164281252394
31,20,0,7.287600730556844,7.286941364476837,0.42596749996300787,0.00048379995860159397,880.4620430192911
32,20,0,6.618159347117109,6.588489829807145,0.41948759998194873,0.0005364999524317682,781.8968074098739
33,20,0,7.8547093489132545,7.819955090475979,0.41099669999675825,0.0005161999724805355,796.1966716537472
34,20,0,7.2745168431717016,7.270240686664848,0.4195819000015035,0.0005872999900020659,714.4251781785789
35,20,0,7.708156112218929,7.701456251087183,0.4203456000541337,0.00048649997916072607,864.0197699068414
36,20,0,7.707273155189484,7.674271879942648,0.39853130001574755,0.0004933999734930694,807.724607673384
37,20,0,7.380583474443632,7.3510033705758255,0.4014479000470601,0.0005247000372037292,765.0998124309012
38,20,0,7.3539393669626465,7.337587843432761,0.4044051999808289,0.0004882000503130257,828.3596032436519
39,20,0,6.181904886384878,6.175163623728201,0.38815779995638877,0.001358299981802702,285.7673600504915
40,20,0,6.36325315795697,6.351079419614141,0.3911956999800168,0.00047230004565790296,828.2779211572811
41,20,0,8.576691180966627,8.567951188778853,0.3942805000115186,0.0004440000047907233,888.0191345884339
42,20,0,7.615202371707769,7.604023067448687,0.3965510000125505,0.0005184999899938703,764.804257792249
43,20,0,6.417926327721597,6.416896602827746,0.39377030002651736,0.00040820002323016524,964.6503616304019
44,20,0,7.752989286719654,7.736758346426087,0.38989330001641065,0.00047199998516589403,826.0451531145169
45,20,0,6.043820224929196,6.023833551927119,0.3952053000102751,0.0004918000195175409,803.5894353928129
46,20,0,6.482351799656977,6.462284398366406,0.38851189997512847,0.00043100002221763134,901.419675052711
47,20,0,6.604129320903931,6.598355433603036,0.3904788999934681,0.0004533999599516392,861.223940194255
48,20,0,7.6159347653914065,7.596676612612583,0.39513109996914864,0.00045009999303147197,877.8740415166375
