p_continue_base,role_bonus_hub,role_penalty_terminator,allow_cycles,max_extra_bonds,p_extra_bond,n_samples,frac_trees,frac_cycles,max_cyclomatic,cyclomatic_mean,cyclomatic_std,n_mean,n_std,cycle_load_mean,cycle_load_std
0.5,0.0,-0.6,True,3,0.3,2400,0.5645833333333333,0.4354166666666667,3,0.9658333333333333,1.253195637382909,3.2629166666666665,3.034873664540622,0.18439014791752795,0.23833653966513835
0.5,0.0,-0.4,True,3,0.3,2400,0.57,0.43,3,0.93625,1.2324173822884301,3.275,2.9822041624722253,0.17883659740994298,0.23325398709396772
0.5,0.0,-0.2,True,3,0.3,2400,0.5245833333333333,0.47541666666666665,3,1.0408333333333333,1.2629328190982905,3.3533333333333335,2.7874998754359708,0.20410418280227685,0.24404835576958603
0.5,0.2,-0.6,True,3,0.3,2400,0.49625,0.50375,3,1.2075,1.3398795032887596,4.762083333333333,4.909987677485103,0.18266855196248788,0.22038000824647955
0.5,0.2,-0.4,True,3,0.3,2400,0.48083333333333333,0.5191666666666667,3,1.23875,1.3366930977228841,4.91625,4.975865345595679,0.18782301177857316,0.21979363174277505
0.5,0.2,-0.2,True,3,0.3,2400,0.46458333333333335,0.5354166666666667,3,1.285,1.3439773063560263,5.02,4.850388300607145,0.19434533443327823,0.22217304968726617
0.5,0.4,-0.6,True,3,0.3,2400,0.48125,0.51875,3,1.3033333333333332,1.3728275767755964,6.663333333333333,7.045979152837611,0.15150452899313363,0.19330874090436545
0.5,0.4,-0.4,True,3,0.3,2400,0.44125,0.55875,3,1.4083333333333334,1.3726242101253432,6.966666666666667,7.08229404140275,0.1655729454199357,0.19582799597722209
0.5,0.4,-0.2,True,3,0.3,2400,0.4275,0.5725,3,1.45,1.3778001790293588,7.1258333333333335,7.033550500201793,0.17212659883854275,0.2001406054421041
0.7,0.0,-0.6,True,3,0.3,2400,0.40166666666666667,0.5983333333333334,3,1.4579166666666667,1.3536600975585495,5.689583333333333,5.232579812392312,0.212462283806979,0.2196454643347574
0.7,0.0,-0.4,True,3,0.3,2400,0.36125,0.63875,3,1.5604166666666666,1.338724452500298,5.96125,5.199575152917143,0.22738697782297018,0.21940934082707952
0.7,0.0,-0.2,True,3,0.3,2400,0.33416666666666667,0.6658333333333334,3,1.6179166666666667,1.3267487804361793,6.132916666666667,5.17971200869851,0.2367848056299379,0.2187909833175623
0.7,0.2,-0.6,True,3,0.3,2400,0.36083333333333334,0.6391666666666667,3,1.6045833333333333,1.3533522551017119,8.251666666666667,7.566648127730594,0.1795415329441738,0.19117201202546646
0.7,0.2,-0.4,True,3,0.3,2400,0.33125,0.66875,3,1.6670833333333333,1.3361947811062411,8.385416666666666,7.447384596379381,0.19086898757221224,0.19317729044084614
0.7,0.2,-0.2,True,3,0.3,2400,0.30375,0.69625,3,1.7533333333333334,1.32003366960426,8.576666666666666,7.125479321109251,0.201236949570816,0.19214351792757176
0.7,0.4,-0.6,True,3,0.3,2400,0.3545833333333333,0.6454166666666666,3,1.6620833333333334,1.3569189338555034,9.544166666666667,8.556559821109312,0.16351635544920895,0.17940448347045201
0.7,0.4,-0.4,True,3,0.3,2400,0.3308333333333333,0.6691666666666667,3,1.7254166666666666,1.3466083294913764,9.826666666666666,8.431683633112007,0.1712400535042281,0.18154920417436515
0.7,0.4,-0.2,True,3,0.3,2400,0.2866666666666667,0.7133333333333334,3,1.8225,1.3039019965728509,10.255,8.261909081239436,0.18322333638596086,0.18323321854424393
0.9,0.0,-0.6,True,3,0.3,2400,0.24708333333333332,0.7529166666666667,3,1.9091666666666667,1.2728246693433032,9.745416666666667,7.659456290084971,0.2086921034064168,0.18938366888789282
0.9,0.0,-0.4,True,3,0.3,2400,0.21875,0.78125,3,1.9820833333333334,1.2366334648507977,10.132916666666667,7.576185264347899,0.21442962082596537,0.18358022566144586
0.9,0.0,-0.2,True,3,0.3,2400,0.19333333333333333,0.8066666666666666,3,2.0595833333333333,1.2052799784236394,10.25125,7.3794053579878645,0.22538110465574335,0.18666182295041514
0.9,0.2,-0.6,True,3,0.3,2400,0.24875,0.75125,3,1.92125,1.272483832575749,11.267083333333334,8.544340221830408,0.181236830739761,0.17092261804739423
0.9,0.2,-0.4,True,3,0.3,2400,0.21708333333333332,0.7829166666666667,3,2.0083333333333333,1.2369036161138651,11.919166666666667,8.516804915707663,0.18369954595937693,0.16681761326434208
0.9,0.2,-0.2,True,3,0.3,2400,0.18208333333333335,0.8179166666666666,3,2.1170833333333334,1.1811187463822403,12.015833333333333,8.110677076476962,0.20319795917393926,0.17366591696983638
0.9,0.4,-0.6,True,3,0.3,2400,0.24416666666666667,0.7558333333333334,3,1.9416666666666667,1.267844846799306,11.843333333333334,8.802108964459723,0.17688187691845864,0.1710558200367615
0.9,0.4,-0.4,True,3,0.3,2400,0.21916666666666668,0.7808333333333334,3,2.00625,1.2397758954074456,12.176666666666666,8.600898531871863,0.18119728534330978,0.1649034634178401
0.9,0.4,-0.2,True,3,0.3,2400,0.18583333333333332,0.8141666666666667,3,2.0883333333333334,1.1918601241570068,12.39125,8.3824622538667,0.19433691821250335,0.17059342586218487
