mode,Z,Z_symbol,n_trees,runtime_total_sec,runtime_per_tree_sec_mean,runtime_per_tree_sec_median,size_mean,size_median,complexity_fdm_mean,complexity_fdm_max
trapz,6,C,50,0.03143610031111166,0.0006287220062222332,0.00042055000085383654,2.06,1.0,0.9940585309968997,5.107620699949421
trapz,8,O,50,0.011521000473294407,0.00023042000946588815,0.00020240002777427435,1.2,1.0,0.34066644032993365,3.585035273857323
trapz,14,Si,50,0.02507550036534667,0.0005015100073069334,0.0003142500063404441,1.84,1.0,0.7502206232699595,6.598032768688422
trapz,26,Fe,50,0.05118420027429238,0.0010236840054858476,0.0006331999902613461,2.78,1.0,1.3108679799010077,6.239976164254287
fdm,6,C,50,0.03876470006071031,0.0007752940012142062,0.0004088499990757555,2.12,1.0,0.8225983819404048,5.921684103245265
fdm,8,O,50,0.01389579992974177,0.0002779159985948354,0.0002046999870799482,1.4,1.0,0.48830088409037986,4.36898030833913
fdm,14,Si,50,0.017707200022414327,0.0003541440004482865,0.00030354998307302594,1.42,1.0,0.43804110070667596,5.329867017480981
fdm,26,Fe,50,0.06617079983698204,0.0013234159967396408,0.0006334999925456941,3.68,1.0,1.6747741192742551,7.290012850815093
