accepted,deg_sorted,energy,proposals,step,topology
4934,"[1, 1, 1, 2, 3]",3.610983723046882,5691,5690,isopentane
4943,"[1, 1, 2, 2, 2]",3.5361703147698216,5701,5700,n_pentane
4952,"[1, 1, 1, 2, 3]",3.610983723046882,5711,5710,isopentane
4961,"[1, 1, 2, 2, 2]",3.5361703147698216,5721,5720,n_pentane
4970,"[1, 1, 1, 2, 3]",3.610983723046882,5731,5730,isopentane
4979,"[1, 1, 2, 2, 2]",3.5361703147698216,5741,5740,n_pentane
4987,"[1, 1, 1, 2, 3]",3.610983723046882,5751,5750,isopentane
4993,"[1, 1, 2, 2, 2]",3.5361703147698216,5761,5760,n_pentane
5001,"[1, 1, 2, 2, 2]",3.5361703147698216,5771,5770,n_pentane
5011,"[1, 1, 1, 2, 3]",3.610983723046882,5781,5780,isopentane
5021,"[1, 1, 1, 2, 3]",3.610983723046882,5791,5790,isopentane
5031,"[1, 1, 1, 2, 3]",3.610983723046882,5801,5800,isopentane
5039,"[1, 1, 2, 2, 2]",3.5361703147698216,5811,5810,n_pentane
5048,"[1, 1, 1, 2, 3]",3.610983723046882,5821,5820,isopentane
5057,"[1, 1, 2, 2, 2]",3.5361703147698216,5831,5830,n_pentane
5066,"[1, 1, 2, 2, 2]",3.5361703147698216,5841,5840,n_pentane
5076,"[1, 1, 1, 2, 3]",3.610983723046882,5851,5850,isopentane
5085,"[1, 1, 1, 2, 3]",3.610983723046882,5861,5860,isopentane
5094,"[1, 1, 2, 2, 2]",3.5361703147698216,5871,5870,n_pentane
5103,"[1, 1, 2, 2, 2]",3.5361703147698216,5881,5880,n_pentane
5113,"[1, 1, 2, 2, 2]",3.5361703147698216,5891,5890,n_pentane
5117,"[1, 1, 2, 2, 2]",3.5361703147698216,5901,5900,n_pentane
5126,"[1, 1, 2, 2, 2]",3.5361703147698216,5911,5910,n_pentane
5136,"[1, 1, 1, 2, 3]",3.610983723046882,5921,5920,isopentane
5142,"[1, 1, 2, 2, 2]",3.5361703147698216,5931,5930,n_pentane
5152,"[1, 1, 1, 2, 3]",3.610983723046882,5941,5940,isopentane
5161,"[1, 1, 1, 2, 3]",3.610983723046882,5951,5950,isopentane
5171,"[1, 1, 1, 2, 3]",3.610983723046882,5961,5960,isopentane
5176,"[1, 1, 1, 2, 3]",3.610983723046882,5971,5970,isopentane
5185,"[1, 1, 2, 2, 2]",3.5361703147698216,5981,5980,n_pentane
5194,"[1, 1, 2, 2, 2]",3.5361703147698216,5991,5990,n_pentane
5203,"[1, 1, 2, 2, 2]",3.5361703147698216,6001,6000,n_pentane
5211,"[1, 1, 1, 2, 3]",3.610983723046882,6011,6010,isopentane
5221,"[1, 1, 2, 2, 2]",3.5361703147698216,6021,6020,n_pentane
5229,"[1, 1, 2, 2, 2]",3.5361703147698216,6031,6030,n_pentane
5238,"[1, 1, 2, 2, 2]",3.5361703147698216,6041,6040,n_pentane
5247,"[1, 1, 1, 2, 3]",3.610983723046882,6051,6050,isopentane
5255,"[1, 1, 2, 2, 2]",3.5361703147698216,6061,6060,n_pentane
5261,"[1, 1, 1, 2, 3]",3.610983723046882,6071,6070,isopentane
5270,"[1, 1, 1, 2, 3]",3.610983723046882,6081,6080,isopentane
5280,"[1, 1, 2, 2, 2]",3.5361703147698216,6091,6090,n_pentane
5289,"[1, 1, 2, 2, 2]",3.5361703147698216,6101,6100,n_pentane
5297,"[1, 1, 2, 2, 2]",3.5361703147698216,6111,6110,n_pentane
5305,"[1, 1, 2, 2, 2]",3.5361703147698216,6121,6120,n_pentane
5313,"[1, 1, 1, 2, 3]",3.610983723046882,6131,6130,isopentane
5321,"[1, 1, 1, 2, 3]",3.610983723046882,6141,6140,isopentane
5331,"[1, 1, 1, 2, 3]",3.610983723046882,6151,6150,isopentane
5341,"[1, 1, 2, 2, 2]",3.5361703147698216,6161,6160,n_pentane
5350,"[1, 1, 1, 2, 3]",3.610983723046882,6171,6170,isopentane
5360,"[1, 1, 2, 2, 2]",3.5361703147698216,6181,6180,n_pentane
5369,"[1, 1, 1, 2, 3]",3.610983723046882,6191,6190,isopentane
5379,"[1, 1, 1, 2, 3]",3.610983723046882,6201,6200,isopentane
5387,"[1, 1, 1, 2, 3]",3.610983723046882,6211,6210,isopentane
5396,"[1, 1, 2, 2, 2]",3.5361703147698216,6221,6220,n_pentane
5403,"[1, 1, 2, 2, 2]",3.5361703147698216,6231,6230,n_pentane
5413,"[1, 1, 1, 2, 3]",3.610983723046882,6241,6240,isopentane
5423,"[1, 1, 1, 2, 3]",3.610983723046882,6251,6250,isopentane
5433,"[1, 1, 1, 2, 3]",3.610983723046882,6261,6260,isopentane
5441,"[1, 1, 1, 1, 4]",3.139857080327591,6271,6270,neopentane
5450,"[1, 1, 1, 2, 3]",3.610983723046882,6281,6280,isopentane
5459,"[1, 1, 1, 2, 3]",3.610983723046882,6291,6290,isopentane
5468,"[1, 1, 2, 2, 2]",3.5361703147698216,6301,6300,n_pentane
5476,"[1, 1, 1, 1, 4]",3.139857080327591,6311,6310,neopentane
