lambda,chi0,chi_avg5,chi_avg10,chi_tail_p2_k10,chi_F_spec
0.5,0.35354363339281486,1.7680544943255523,3.6135788259077364,176.19402597073213,1.7724636546476835
1.0,0.49998037001603524,2.4996685327540695,5.003207034719207,333.1301783079158,1.2534025222282417
2.0,0.7070675204586416,3.5348663693687805,7.068446691866112,664.4473856354199,0.8862042786460714
4.0,0.9999214767389035,4.998664808341564,9.994736236643154,1328.4291599260462,0.6177041211570451
8.0,1.4140565107406655,7.068397095925742,14.131605507505864,2655.5564076814226,0.3680849750557232
