N,F_spec,F_fdm,rel_error
100,1.254755128406831,0.29359504851977003,0.7660140677069405
200,1.253669775986579,0.3080320236142765,0.7542957248276406
400,1.2534025222282417,0.3027286876942576,0.7584744865870539
800,1.2533361536247951,0.3025396018475637,0.7586125629803435
