seed,role,n,C1,C2,C1_norm,C2_norm,lambda_fdm,q_fdm
Li,terminator,17,8.475372006075451,7.633498794061418,0.11955881563879098,0.10768283378521916,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,5,1.5380526636950798,4.298466588588096,0.11899999812500119,0.33257477331983765,0.3,1.0
Li,terminator,7,2.5999998483334226,5.423273663210763,0.12380951658730584,0.25825112681956014,0.3,1.0
Li,terminator,10,4.182068197929283,6.121385530681632,0.12088888172839904,0.17694772452513177,0.3,1.0
Li,terminator,5,1.731924730079125,3.944454220756919,0.13399998875000704,0.30518463766159004,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,10,4.335820628895146,6.144434438937295,0.12533332370370906,0.1776139873913058,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,5,1.731924730079125,3.944454220756919,0.13399998875000704,0.30518463766159004,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,8,3.133697090475492,5.637492193256687,0.12357142081633098,0.22230384751577856,0.3,1.0
Li,terminator,7,2.5999998483334226,5.423273663210763,0.12380951658730584,0.25825112681956014,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,4,1.2074025474233872,3.4357835455971917,0.12999999333333778,0.36992785792574934,0.3,1.0
Li,terminator,9,3.687339942409116,5.974567410243468,0.12333332520833787,0.19983600017775052,0.3,1.0
Li,terminator,6,2.0212954765049975,4.902760431941739,0.11999999600000241,0.29106641708774644,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,15,7.165713832653303,7.2578651165103425,0.11942856387755504,0.12096441860850571,0.3,1.0
Li,terminator,16,7.902427607489305,7.472839458180932,0.12083332488889341,0.11426463903790222,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,24,13.25316084608883,8.436887943311818,0.11891303534972074,0.07569937208909254,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,7,2.529999889166732,5.001323781604144,0.12047618519841581,0.23815827531448305,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
Li,terminator,4,1.1454845061717518,3.585035273857323,0.12333333111111261,0.385997663079144,0.3,1.0
Li,terminator,3,0.7799999850000113,2.7917613293476906,0.12999999750000188,0.46529355489128177,0.3,1.0
Li,terminator,18,9.055581380111567,7.853799948140526,0.11843136514417925,0.10271413953281783,0.3,1.0
Li,terminator,13,6.066385069184341,7.3042009340239105,0.12256409367521849,0.1475726907030473,0.3,1.0
Li,terminator,2,0.44378950020192365,1.9211838203770515,0.13999999999999999,0.6060660171779821,0.3,1.0
