potential,N,F_spec,F_naive,F_lin,err_naive,err_lin,known_N
harmonic,100,1.254755128406831,0.31567848716005814,1.2537102178107924,0.7484142682398304,0.0008327605700766058,True
harmonic,200,1.253669775986579,0.2997940390968612,1.2538320799805553,0.7608668208811706,0.00012946311467763183,True
harmonic,400,1.2534025222282417,0.30567472016621455,1.2538440907181718,0.7561240585164931,0.00035229583641267537,True
harmonic,800,1.2533361536247951,0.304237344430081,1.2537219613185773,0.7572579841807077,0.0003078245949152249,True
harmonic,160,1.2538715202725488,0.29795039141740676,1.2537498193637022,0.7623756608231739,9.706011092755525e-05,False
harmonic,320,1.253452444597916,0.30475355206144095,1.2538112994690345,0.756868676290946,0.0002862931678541128,False
harmonic,640,1.2533485762909713,0.2951640485984133,1.253708067931912,0.7644996338752856,0.00028682494857453416,False
box,100,4.456341256928087,1.0,1.24937040698,0.7756006682734762,0.719642115594793,True
box,200,4.402502780316718,1.0,1.24937040698,0.7728564750780101,0.7162136018253419,True
box,400,4.3769442372051435,1.0,1.24937040698,0.7715301027827257,0.7145564715309753,True
box,800,4.364492903658605,1.0,1.24937040698,0.7708783077269448,0.7137421380768668,True
box,160,4.415616696042673,1.0,1.24937040698,0.7735310673826803,0.7170564174875731,False
box,320,4.383251281135346,1.0,1.24937040698,0.7718588472662281,0.7149671951601212,False
box,640,4.367585514524579,1.0,1.24937040698,0.7710405447873979,0.7139448322591123,False
