Z,gap_sp
1,0.9822169313525606
2,0.9822169313525606
3,0.9822169313525606
4,0.9822169313525606
5,0.9822169313525606
6,0.9822169313525606
7,0.9822169313525606
8,0.9822169313525606
9,0.9822169313525606
10,0.9822169313525606
11,0.9822169313525606
12,0.9822169313525606
13,0.9822169313525606
14,0.9822169313525606
15,0.9822169313525606
16,0.9822169313525606
17,0.9822169313525606
18,0.9822169313525606
19,0.9822169313525606
20,0.9822169313525606
21,0.9822169313525606
22,0.9822169313525606
23,0.9822169313525606
24,0.9822169313525606
25,0.9822169313525606
26,0.9822169313525606
27,0.9822169313525606
28,0.9822169313525606
29,0.9822169313525606
30,0.9822169313525606
