base,depth,Z,kurt_trapz,kurt_fdm,abs_err,t_trapz_sec,t_fdm_sec,speedup
2,5,1,-0.22709100725259113,-0.22222237832126135,0.004868628931329777,0.00016579998191446066,7.619999814778566e-05,2.17585283391872
2,5,6,-0.22709100725259113,-0.22222237832126135,0.004868628931329777,0.00016769999638199806,6.469996878877282e-05,2.5919641001604083
2,5,8,-0.22709100725259113,-0.22222237832126135,0.004868628931329777,0.0003619000199250877,6.450002547353506e-05,5.610850806153224
2,5,14,-0.22709100725259113,-0.22222237832126135,0.004868628931329777,0.00016200001118704677,6.170000415295362e-05,2.6256077841656307
2,5,26,-0.22709100725259113,-0.22222237832126135,0.004868628931329777,0.00017409998690709472,6.3000014051795e-05,2.763491239287021
2,6,1,-0.22709100725259113,-0.22681022748268553,0.0002807797699055925,0.00016579998191446066,7.320003351196647e-05,2.2650260383740988
2,6,6,-0.22709100725259113,-0.22681022748268553,0.0002807797699055925,0.00016769999638199806,6.849999772384763e-05,2.4481752110133996
2,6,8,-0.22709100725259113,-0.22681022748268553,0.0002807797699055925,0.0003619000199250877,6.890000076964498e-05,5.252540143432461
2,6,14,-0.22709100725259113,-0.22681022748268553,0.0002807797699055925,0.00016200001118704677,9.579997276887298e-05,1.691023561957455
2,6,26,-0.22709100725259113,-0.22681022748268553,0.0002807797699055925,0.00017409998690709472,7.149996235966682e-05,2.4349661337067308
2,7,1,-0.22709100725259113,-0.2270570672307719,3.3940021819223176e-05,0.00016579998191446066,8.209998486563563e-05,2.0194885807324807
2,7,6,-0.22709100725259113,-0.2270570672307719,3.3940021819223176e-05,0.00016769999638199806,7.700000423938036e-05,2.1779219110254373
2,7,8,-0.22709100725259113,-0.2270570672307719,3.3940021819223176e-05,0.0003619000199250877,7.839995669201016e-05,4.6160742326273425
2,7,14,-0.22709100725259113,-0.2270570672307719,3.3940021819223176e-05,0.00016200001118704677,7.709994679316878e-05,2.1011689102929485
2,7,26,-0.22709100725259113,-0.2270570672307719,3.3940021819223176e-05,0.00017409998690709472,7.680000271648169e-05,2.266926832669655
