N,n_samples,t_canonicalize_mean,t_canonicalize_p50,t_canonicalize_p90,t_canonicalize_p99,t_energy_fdm_mean,t_energy_fdm_p50,t_energy_fdm_p90,t_energy_fdm_p99,t_energy_fdm_raw_mean,t_energy_fdm_raw_p50,t_energy_fdm_raw_p90,t_energy_fdm_raw_p99,overhead_canon_over_fdm_mean
6,200,7.945100020151586e-05,7.569999434053898e-05,8.462006226181984e-05,0.00016940400935709475,0.0003637650009477511,0.00033549999352544546,0.0004233800689689815,0.0008084349695127437,8.199750329367816e-05,7.82000133767724e-05,8.680006721988319e-05,0.00013542597764171593,0.21841298639097964
10,200,0.00012227299623191357,0.00012019998393952847,0.0001297600450925529,0.00023753006011247623,0.0005004720005672425,0.0004778000293299556,0.0005657001049257814,0.0008350599452387529,0.00012216149771120398,0.00011570006608963013,0.00012729993322864176,0.00025654797325842067,0.24431535848824212
20,200,0.0002520320005714893,0.00024809996830299497,0.0002645099186338484,0.00041824804036878034,0.0008271380013320595,0.000806950032711029,0.0008996300864964723,0.001150268025230616,0.0002180384920211509,0.00020760000916197896,0.00022001994075253605,0.0005020490905735635,0.3047036893065074
40,200,0.0006097810016945004,0.0005906000733375549,0.0006816699518822133,0.0010707530041690915,0.0015062409976962954,0.0014569499180652201,0.0016702200286090373,0.002212125062942503,0.0004091185046127066,0.00039125001057982445,0.0004128300002776086,0.0007484909892082207,0.40483627960407637
80,200,0.0016640924976672978,0.0016288000624626875,0.0018228900153189898,0.002361542051658034,0.0028450735029764474,0.0027616500738076866,0.0031323199626058337,0.003701577002648263,0.0007874090009136126,0.0007629499887116253,0.0008352999575436115,0.0010807850700803089,0.584903165393219
160,200,0.005043914503185079,0.005136099993251264,0.0055134899565018715,0.006098037976771592,0.005330379501683638,0.005478249920997769,0.006116829975508153,0.006948848058236763,0.001493250000057742,0.0015103000332601368,0.001697029999922961,0.0021081999840680504,0.946258048154343
