N,opt1_mean_sec,opt1_p90_sec,opt2_mean_sec,opt2_p90_sec,speedup_opt2_vs_opt1,canon_overhead_opt2
40,0.0003390639997087419,0.0003936799708753824,0.00014672349730972202,0.00017610994400456547,2.310904564883727,0.43273098127715837
80,0.0009554919967195019,0.0012757399352267384,0.0002852205029921606,0.0003759299521334469,3.350011611001766,0.29850642807204075
160,0.0034475540067069235,0.005044679983984679,0.0006441564962733537,0.0009288099710829555,5.352044148668995,0.18684449758298258
320,0.012511177493142895,0.016971499973442404,0.0014832790050422773,0.0021872099954634906,8.434810612576758,0.11855630741832496
