N,n_samples,t_fdm_dense_mean,t_fdm_opt_mean,t_fdm_raw_mean,canon_overhead_mean,speedup_mean
6,200,0.00014459799509495498,0.0001117174990940839,6.618049868848175e-05,0.40760848367409974,1.2943182246962086
10,200,0.00024834449810441585,0.00018004700425080955,0.00011509749805554747,0.36073638917527306,1.3793314647905297
20,200,0.00047388700128067287,0.000325834498507902,0.00021283950540237128,0.34678646252306033,1.4543794578252136
40,200,0.0010114305035676806,0.0006115174951264635,0.000401445499737747,0.34352573239997497,1.6539682210702966
80,200,0.002372201001853682,0.0011761399981332942,0.0007784635020652786,0.3381200339238409,2.0169376142455078
160,200,0.006522460501291789,0.0022748075012350454,0.0015396049991250038,0.3231932819418273,2.867258217563726
