N,mode,backend,lambda,steps,burnin,thin,chains,n_starts,elapsed_total_sec,steps_total,steps_per_sec_total,energy_cache_hit_rate,accept_rate,kl_max_pairwise,kl_mean_pairwise
8,A,fdm,1.0,2000,200,10,3,2,0.6267510000616312,12000,19146.359557176595,0.9994169581875729,0.9025833333333333,0.08318046780932262,0.04610454285327327
8,A,fdm,1.0,5000,500,10,3,2,1.6007028999738395,30000,18741.766508007386,1.0,0.904,0.0021197273386143675,0.002095431614156591
8,A,fdm,1.0,10000,1000,10,3,2,3.172592499991879,60000,18911.97813780168,1.0,0.9046333333333333,0.0014953498817406423,0.0014743832784667905
8,A,fdm,1.0,20000,2000,10,3,2,6.352063299971633,120000,18891.499396823692,1.0,0.9028,0.0011153448547405157,0.0011111964967777227
