accepted,deg_sorted,energy,proposals,step,topology
18791,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20591,20590,2_methylpentane
18800,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20601,20600,3_methylpentane
18809,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,20611,20610,"2,2_dimethylbutane"
18819,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20621,20620,3_methylpentane
18827,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20631,20630,2_methylpentane
18837,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20641,20640,3_methylpentane
18846,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,20651,20650,"2,2_dimethylbutane"
18856,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,20661,20660,"2,2_dimethylbutane"
18866,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20671,20670,n_hexane
18875,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20681,20680,n_hexane
18884,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20691,20690,2_methylpentane
18894,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20701,20700,2_methylpentane
18903,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20711,20710,2_methylpentane
18911,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20721,20720,2_methylpentane
18921,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20731,20730,2_methylpentane
18931,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20741,20740,2_methylpentane
18940,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20751,20750,n_hexane
18950,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20761,20760,2_methylpentane
18959,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20771,20770,3_methylpentane
18969,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20781,20780,3_methylpentane
18978,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20791,20790,n_hexane
18987,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20801,20800,3_methylpentane
18996,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20811,20810,n_hexane
19005,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20821,20820,n_hexane
19014,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20831,20830,n_hexane
19023,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20841,20840,2_methylpentane
19033,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20851,20850,3_methylpentane
19042,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20861,20860,3_methylpentane
19051,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20871,20870,3_methylpentane
19060,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20881,20880,2_methylpentane
19069,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20891,20890,n_hexane
19078,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20901,20900,n_hexane
19087,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20911,20910,3_methylpentane
19096,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20921,20920,3_methylpentane
19105,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,20931,20930,2_methylpentane
19113,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20941,20940,n_hexane
19123,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20951,20950,3_methylpentane
19130,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20961,20960,3_methylpentane
19140,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,20971,20970,"2,2_dimethylbutane"
19148,"[1, 1, 2, 2, 2, 2]",4.031574904595274,20981,20980,n_hexane
19158,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,20991,20990,3_methylpentane
19167,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21001,21000,3_methylpentane
19174,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21011,21010,n_hexane
19183,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21021,21020,3_methylpentane
19192,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21031,21030,n_hexane
19201,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21041,21040,2_methylpentane
19211,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21051,21050,3_methylpentane
19220,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21061,21060,2_methylpentane
19229,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21071,21070,3_methylpentane
19239,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21081,21080,"2,2_dimethylbutane"
19248,"[1, 1, 1, 1, 3, 3]",3.7696361440826194,21091,21090,"2,3_dimethylbutane"
19258,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21101,21100,2_methylpentane
19266,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21111,21110,3_methylpentane
19273,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21121,21120,3_methylpentane
19283,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21131,21130,3_methylpentane
19292,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21141,21140,2_methylpentane
19301,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21151,21150,"2,2_dimethylbutane"
19311,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21161,21160,3_methylpentane
19320,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21171,21170,2_methylpentane
19328,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21181,21180,3_methylpentane
19338,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21191,21190,3_methylpentane
19348,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21201,21200,3_methylpentane
19356,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21211,21210,n_hexane
19366,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21221,21220,"2,2_dimethylbutane"
19376,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21231,21230,"2,2_dimethylbutane"
19385,"[1, 1, 1, 1, 3, 3]",3.7696361440826194,21241,21240,"2,3_dimethylbutane"
19394,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21251,21250,2_methylpentane
19404,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21261,21260,2_methylpentane
19414,"[1, 1, 1, 1, 3, 3]",3.7696361440826194,21271,21270,"2,3_dimethylbutane"
19423,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21281,21280,2_methylpentane
19432,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21291,21290,3_methylpentane
19442,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21301,21300,n_hexane
19452,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21311,21310,3_methylpentane
19462,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21321,21320,n_hexane
19472,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21331,21330,2_methylpentane
19482,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21341,21340,3_methylpentane
19492,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21351,21350,3_methylpentane
19502,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21361,21360,2_methylpentane
19512,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21371,21370,3_methylpentane
19521,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21381,21380,3_methylpentane
19528,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21391,21390,"2,2_dimethylbutane"
19538,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21401,21400,n_hexane
19548,"[1, 1, 1, 1, 3, 3]",3.7696361440826194,21411,21410,"2,3_dimethylbutane"
19557,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21421,21420,n_hexane
19563,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21431,21430,"2,2_dimethylbutane"
19572,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21441,21440,"2,2_dimethylbutane"
19581,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21451,21450,2_methylpentane
19590,"[1, 1, 1, 1, 3, 3]",3.7696361440826194,21461,21460,"2,3_dimethylbutane"
19599,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21471,21470,n_hexane
19607,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21481,21480,n_hexane
19615,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21491,21490,2_methylpentane
19625,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21501,21500,n_hexane
19633,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21511,21510,2_methylpentane
19643,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21521,21520,2_methylpentane
19652,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21531,21530,3_methylpentane
19662,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21541,21540,n_hexane
19668,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21551,21550,3_methylpentane
19678,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21561,21560,"2,2_dimethylbutane"
19688,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21571,21570,2_methylpentane
19696,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21581,21580,"2,2_dimethylbutane"
19706,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21591,21590,2_methylpentane
19716,"[1, 1, 1, 1, 3, 3]",3.7696361440826194,21601,21600,"2,3_dimethylbutane"
19725,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21611,21610,2_methylpentane
19735,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21621,21620,3_methylpentane
19745,"[1, 1, 1, 1, 3, 3]",3.7696361440826194,21631,21630,"2,3_dimethylbutane"
19755,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21641,21640,3_methylpentane
19763,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21651,21650,3_methylpentane
19773,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21661,21660,2_methylpentane
19782,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21671,21670,3_methylpentane
19791,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21681,21680,n_hexane
19801,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21691,21690,"2,2_dimethylbutane"
19811,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21701,21700,n_hexane
19821,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21711,21710,n_hexane
19831,"[1, 1, 1, 2, 2, 3]",3.9333478694030286,21721,21720,2_methylpentane
19841,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21731,21730,3_methylpentane
19851,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21741,21740,n_hexane
19861,"[1, 1, 2, 2, 2, 2]",4.031574904595274,21751,21750,n_hexane
19868,"[1, 1, 1, 2, 2, 3]",3.7078272965260886,21761,21760,3_methylpentane
19877,"[1, 1, 1, 1, 2, 4]",3.5441155712056793,21771,21770,"2,2_dimethylbutane"
