formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C5H13N,"het:edges=0-1,0-2,0-3,0-4,3-5;types=0,0,0,0,1,0",primary_amine,6,0.037681295626156235,0.03571428571428571,9.441250000000005,1,"1,1,1,1,2,4",,,1,2,2.7183333333333337,9.441250000000004,39.15918183333335,181.79877232500007,0.3163533723427037,0.002043893833066294,0.23281401725167267,0.37769126043989293,0.130657386090538,0.0002475409873507826,0.11364931915982074,0.16276996096669666,-0.05361306383135989
C5H13N,"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,0,1",primary_amine,6,0.012560431875385431,0.011904761904761904,9.441250000000004,1,"1,1,1,1,2,4",,,1,2,2.7183333333333337,9.441250000000002,39.15918183333335,181.98957232500007,0.31644970587413207,0.0021372651337998594,0.23151549160438023,0.38213622629514166,0.13096813190484777,0.0003432484744631025,0.11076661773579846,0.17028258667828688,-0.05361306090809297
C5H13N,"het:edges=0-1,0-2,0-3,0-4,4-5;types=0,0,0,0,1,0",secondary_amine,6,0.01317408372384631,0.013333333333333334,9.393550000000003,1,"1,1,1,1,2,4",,,2,1,2.7183333333333337,9.393550000000001,38.66070783333333,178.309486275,0.31533312178539646,0.0013729140496145065,0.23267638028179755,0.3369970960589075,0.13013970654789608,0.00011274920742191253,0.11319267104239528,0.1477851226218271,0.012015619107398744
C5H13N,"het:edges=0-1,0-2,0-3,1-4,2-5;types=0,0,0,1,0,0",primary_amine,6,0.04544171431784966,0.04666666666666667,9.253983333333336,1,"1,1,1,2,2,3",,,1,2,2.7183333333333337,9.253983333333336,36.29861283333335,154.7366836850001,0.3153575373527243,0.0015519349958247198,0.2587490203180117,0.3797943627726452,0.13233980195126752,0.00026882229546649,0.11732780831264389,0.1661992527889778,0.026599632596952635
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,0,0,1",primary_amine,6,0.09088342863569941,0.09380952380952381,9.253983333333329,1,"1,1,1,2,2,3",,,1,2,2.7183333333333337,9.253983333333336,36.298612833333344,154.83208368500007,0.31540892706529683,0.0016051024909135465,0.25731610720348064,0.3821643584949173,0.1325172530519594,0.00032793329360298755,0.1140208107127259,0.17047843394694032,0.03168870233885587
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=0,0,0,1,0,0",secondary_amine,6,0.09532362500235915,0.09238095238095238,9.206283333333333,1,"1,1,1,2,2,3",,,2,1,2.7183333333333337,9.206283333333333,35.80013883333333,151.24739763499994,0.3143322732488347,0.0008676999877254584,0.2585990404456557,0.3370251821545452,0.13179842872832556,0.0001214736643864859,0.11680692366638805,0.15062872888559797,-0.03135686665843849
C5H13N,"het:edges=0-1,0-2,0-3,2-4,3-5;types=1,0,0,0,0,0",tertiary_amine,6,0.04999037569331413,0.051904761904761905,9.158583333333333,1,"1,1,1,2,2,3",,,3,0,2.7183333333333333,9.15858333333333,35.22582183333332,146.5255531249999,0.31349841986838795,0.00047092556742205235,0.29012540342823784,0.3354385198118891,0.13135737220868016,2.779878803525263e-05,0.12423015513402505,0.13819798974209427,0.037580035995375786
C5H13N,"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,0,0,1",primary_amine,6,0.04137997910789973,0.04285714285714286,9.347616666666672,1,"1,1,1,1,3,3",,,1,2,2.7183333333333337,9.347616666666672,37.65445883333336,166.8929597683335,0.3159944941834904,0.0019389507739100067,0.25752420630624784,0.3797966229441769,0.13154366371078774,0.000281342253743106,0.11447618222728821,0.166226679213215,0.03507515733468396
C5H13N,"het:edges=0-1,0-2,0-3,3-4,3-5;types=0,0,0,1,0,0",tertiary_amine,6,0.022761032817955027,0.02619047619047619,9.252216666666666,1,"1,1,1,1,3,3",,,3,0,2.7183333333333324,9.252216666666662,36.58166783333331,158.68182920833326,0.3141401746435876,0.0008690942838176876,0.25867793169138975,0.334668970349151,0.13058274779550447,4.553717836474204e-05,0.1168656171924166,0.13873563866777763,0.14034584787685134
C5H13N,"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,0,0,0,1",primary_amine,6,0.04544171431784969,0.039047619047619046,9.25398333333333,1,"1,1,1,2,2,3",,,1,2,2.7183333333333333,9.253983333333332,36.29861283333333,154.6448170183333,0.3153425321806483,0.0015597214660071905,0.25923993143277,0.38219467556679115,0.13240858592913723,0.0003238655156417251,0.11674144918265537,0.17070012301124957,-0.15164859462818242
C5H13N,"het:edges=0-1,0-2,1-3,1-4,2-5;types=0,0,1,0,0,0",secondary_amine,6,0.04766181250117984,0.048095238095238094,9.206283333333326,1,"1,1,1,2,2,3",,,2,1,2.7183333333333324,9.206283333333328,35.8001388333333,151.15553096833312,0.3143103902360945,0.0008589759652465765,0.25925593229383914,0.3370554505020108,0.13181929972840006,0.00014456728375350462,0.11687152859690254,0.15397409796866773,0.009052671156190741
C5H13N,"het:edges=0-1,0-2,1-3,2-4,2-5;types=0,0,0,0,0,1",primary_amine,6,0.09088342863569936,0.09619047619047619,9.253983333333332,1,"1,1,1,2,2,3",,,1,2,2.7183333333333324,9.253983333333329,36.298612833333316,154.54941701833323,0.31529114334850206,0.001506496933229351,0.2606914589793331,0.37982471960621567,0.13223117243403423,0.00026424256833385847,0.1180563184695675,0.16642180184919972,0.05675267073821382
C5H13N,"het:edges=0-1,0-2,1-3,2-4,2-5;types=0,0,1,0,0,0",tertiary_amine,6,0.049990375693314125,0.04285714285714286,9.158583333333334,1,"1,1,1,2,2,3",,,3,0,2.7183333333333337,9.158583333333334,35.22582183333334,146.43368645833337,0.31347658474163875,0.00046175863639006656,0.2904949155772737,0.33545014444145094,0.13137844996725426,4.7228090142602945e-05,0.12082849012107053,0.14152951951056997,-0.15395817183622457
C5H13N,"het:edges=0-1,0-2,1-3,2-4,2-5;types=1,0,0,0,0,0",secondary_amine,6,0.04766181250117984,0.05095238095238095,9.206283333333326,1,"1,1,1,2,2,3",,,2,1,2.7183333333333324,9.20628333333333,35.80013883333331,150.96473096833316,0.3142147082873752,0.0007713617575132465,0.2605401128393555,0.33546876511878515,0.13151465063856527,6.566505095066875e-05,0.11967487578298407,0.1466516585684984,0.06676098761092648
C5H13N,"het:edges=0-1,0-2,1-3,2-4,4-5;types=0,0,0,0,0,1",primary_amine,6,0.09980427465952095,0.10238095238095238,9.160350000000003,1,"1,1,2,2,2,2",,,1,2,2.7183333333333333,9.16035,34.942766833333316,142.48854093499992,0.31469697738284363,0.0011573256517476206,0.2911303142268886,0.38219485872425685,0.13317245123207272,0.0003026899525015758,0.12073049365213426,0.1707055527852126,0.02548966848624415
C5H13N,"het:edges=0-1,0-2,1-3,2-4,4-5;types=0,0,0,0,1,0",secondary_amine,6,0.10468030744539568,0.1019047619047619,9.112650000000002,1,"1,1,2,2,2,2",,,2,1,2.7183333333333337,9.11265,34.444292833333336,138.999254885,0.3136654463367038,0.00045665343455761993,0.29114755258922626,0.33705563348648143,0.1325911755498734,0.00012895732082625865,0.12087726051862996,0.1541664773378494,-0.02687234410722045
C5H13N,"het:edges=0-1,0-2,1-3,2-4,4-5;types=0,0,1,0,0,0",secondary_amine,6,0.10468030744539551,0.10380952380952381,9.112650000000004,1,"1,1,2,2,2,2",,,2,1,2.7183333333333337,9.112650000000004,34.44429283333334,138.90385488500002,0.3136142763498266,0.0004057863554547817,0.2925713004379745,0.33546894810266614,0.13241607269327868,7.786245424583464e-05,0.1241271926164721,0.1499679849185264,-0.008353296520037898
