formula,state_id,class_label,N_heavy,P_exact,P_emp,energy,is_valid_valence,degree_seq,o_deg,o_implicit_h,n_deg,n_implicit_h,fp0,fp1,fp2,fp3,fp4,fp5,fp6,fp7,fp8,fp9,fp10,fp11,log_ratio_emp_exact
C7H17N,"het:edges=0-1,0-2,0-3,0-4,1-5,2-6,3-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.00299806838853868,0.0028538812785388126,9.7418375,1,"1,1,1,1,2,2,2,4",,,1,2,2.7737499999999997,9.741837499999999,40.13243237499999,183.01963448374997,0.31023324726670193,0.0017843687715883428,0.2292723778575993,0.3776345129890325,0.1284690673109317,0.00023949708551251363,0.10842269779735735,0.16236579287114822,-0.04928827403558191
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,3-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.008384254641848875,0.009417808219178082,9.8120625,1,"1,1,1,1,1,2,3,4",,,1,2,2.7737499999999997,9.8120625,41.14931687500001,192.13684154625014,0.3107057125313041,0.002071196793041574,0.22946342362833408,0.3776366287906576,0.12785651940760734,0.00024104087200281678,0.10882867795765407,0.16239025569425508,0.11624687582758385
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.008994205165615153,0.007705479452054794,9.741837500000003,1,"1,1,1,1,2,2,2,4",,,1,2,2.7737500000000006,9.741837500000003,40.132432375000015,183.1627344837501,0.31030642651154594,0.001857380381612841,0.2279762326945741,0.3821358788606948,0.12871476305973906,0.0003196187077261762,0.1055718743393892,0.17027256933639437,-0.15464878795013148
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,4-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.00932179772901216,0.010559360730593607,9.706062500000002,1,"1,1,1,1,2,2,2,4",,,2,1,2.7737499999999997,9.7060625,39.75857687499999,180.40266994624994,0.3094681311827167,0.0012722842943192173,0.229134901975143,0.33699674895687204,0.1280824685646732,0.0001385018098668063,0.10796979665218198,0.14743353113882957,0.12465722752161587
C7H17N,"het:edges=0-1,0-2,0-3,0-4,2-5,3-6,6-7;types=0,0,0,0,1,0,0,0",primary_amine,8,0.017988410331231143,0.021118721461187213,9.741837500000003,1,"1,1,1,1,2,2,2,4",,,1,2,2.77375,9.741837500000003,40.132432375000015,182.73873448375008,0.3101378653397597,0.0017207255406007935,0.2310172694753468,0.3776627079501997,0.12830678783174498,0.00022699037832747492,0.11086641471870828,0.16256261865452087,0.16043223185464264
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.004192127320925146,0.0045662100456621,9.812062499999996,1,"1,1,1,1,1,2,3,4",,,1,2,2.7737499999999997,9.8120625,41.149316875000004,192.27994154625006,0.3107788569789678,0.002144000401601771,0.22816720010589125,0.38213588894459916,0.12810144263166884,0.0003208824713392058,0.1059760933988575,0.1702730676351525,0.0854752107076593
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,3-6,4-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.004344815602973979,0.004280821917808219,9.776287499999997,1,"1,1,1,1,1,2,3,4",,,2,1,2.7737499999999997,9.776287499999999,40.775461375,189.51987700874997,0.30994059405243146,0.0015598185970533852,0.22932594297085906,0.33699675903283605,0.12746982600436055,0.00013944862101106334,0.1083755835897613,0.14745501802665484,-0.014838287446829797
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,4-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.008384254641848875,0.010273972602739725,9.812062499999996,1,"1,1,1,1,1,2,3,4",,,1,2,2.7737499999999997,9.8120625,41.149316875,192.20839154625,0.31074038636296497,0.0021041079421667665,0.2281660316664203,0.37977022989036946,0.12797000092393324,0.0002771704568767049,0.1059606737862238,0.16604495276263603,0.20325824396872968
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,4-7;types=0,0,0,0,1,0,0,0",tertiary_amine,8,0.004503065193086363,0.003424657534246575,9.7405125,1,"1,1,1,1,1,2,3,4",,,3,0,2.7737500000000006,9.740512500000005,40.34472362500003,185.97849362625016,0.3093221202843798,0.0012697856716722793,0.22920647602181682,0.3353941015358149,0.12717049183370294,7.96849189618936e-05,0.1080149046936505,0.13603592772124962,-0.2737567722724789
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,5-7;types=0,0,0,0,0,0,1,0",primary_amine,8,0.008994205165615153,0.006563926940639269,9.741837499999997,1,"1,1,1,1,2,2,2,4",,,1,2,2.77375,9.741837500000003,40.13243237500002,182.88183448375017,0.31021058298987897,0.0017927232697207878,0.22971993981556135,0.3821360519499798,0.1285463340127705,0.00030383779067469217,0.10799997513813811,0.170277503901832,-0.31499141545526566
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,5-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.00932179772901216,0.010844748858447488,9.706062499999996,1,"1,1,1,1,2,2,2,4",,,2,1,2.7737499999999997,9.706062499999998,39.75857687499999,180.12176994624997,0.309372713514346,0.0012083366183126033,0.23087971335682053,0.3369969218803447,0.1279193763484454,0.00012504518460880335,0.11041167105648457,0.14760461993885987,0.15132547211160094
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,6-7;types=0,0,0,0,0,0,0,1",primary_amine,8,0.008994205165615153,0.007705479452054794,9.741837499999999,1,"1,1,1,1,2,2,2,4",,,1,2,2.7737500000000006,9.741837499999999,40.132432375,182.88183448375005,0.31021154594767225,0.0017951038449443135,0.22970384497900107,0.38219450149741985,0.12855972403417731,0.00031311275877936903,0.10786760880271726,0.17069506539680201,-0.15464878795013148
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,6-7;types=0,0,0,0,0,0,1,0",secondary_amine,8,0.00932179772901216,0.009988584474885844,9.706062500000005,1,"1,1,1,1,2,2,2,4",,,2,1,2.7737500000000006,9.706062500000005,39.75857687500004,180.26486994625026,0.3094370092179988,0.0012608352814413716,0.2297187145131836,0.3370552765983381,0.12811216417362695,0.00017179544267205069,0.10798302074213192,0.1537949440853565,0.06908738177838757
C7H17N,"het:edges=0-1,0-2,0-3,0-4,3-5,4-6,6-7;types=0,0,0,0,1,0,0,0",secondary_amine,8,0.00932179772901216,0.008276255707762557,9.706062500000003,1,"1,1,1,1,2,2,2,4",,,2,1,2.7737500000000006,9.706062500000003,39.75857687500002,180.05021994625008,0.3093344088532145,0.001170262948119134,0.23087851533453918,0.3354685912160417,0.12778974206627103,8.792553351019724e-05,0.11039556810638149,0.143459613683055,-0.11896482901125398
