run_id,git_sha,timestamp_utc,formula,weight_source,chains,steps_total,steps_per_chain,burnin_steps,thin,seed_base,beta,rho_C,rho_N,rho_O,alpha_H,tau_s,support_exact,support_emp,coverage_unique_eq,kl_exact_emp,kl_emp_exact,accept_rate,samples,energy_collision_rate,energy_collision_eps,fp_collision_rate,class_a,class_b,n_a,n_b,n_other,pair_is_exhaustive,E_is_trivial,E_auc_raw,E_auc_best,E_delta_abs,E_effect_size,fp_dim,fp_best_idx,fp_best_is_trivial,fp_best_auc_raw,fp_best_auc_best,fp_best_delta_abs,fp_best_effect_size,E_delta_mean,E_mean_a,E_mean_b
C4H10O_2025-12-26T21:51:52.340630,c574721d6fb679c1370f33fb26d4c5bb886b7696,2025-12-26T21:51:52.369812,C4H10O,P_exact,6,8000,1333,400,4,0,1.0,0.0,0.2,0.5,0.5,0.0,7,7,1.0,0.0013523018244758628,0.0013408785397386186,0.8482120530132533,1404,0.09523809523809523,1e-09,0.0,alcohol,ether,4,3,0,True,False,0.9067458628826438,0.9067458628826438,0.1433969688406389,1.4414094664039778,12,3,False,0.9067458628826438,0.9067458628826438,13.033447436908943,1.0194364240399594,0.1433969688406389,8.593985536059945,8.450588567219306
C4H11N_2025-12-26T21:51:52.799593,c574721d6fb679c1370f33fb26d4c5bb886b7696,2025-12-26T21:51:52.819283,C4H11N,P_exact,6,8000,1333,400,4,0,1.0,0.0,0.2,0.5,0.5,0.0,8,8,1.0,0.0014025323434583832,0.0014243260107844075,0.8879719929982496,1404,0.07142857142857142,1e-09,0.0,primary_amine,secondary_amine,4,3,1,False,False,0.9067458628826438,0.9067458628826438,0.11039696884064121,1.109697347410806,12,3,False,0.9067458628826437,0.9067458628826437,10.946809289214542,0.853826916066831,0.11039696884064121,8.715485536059946,8.605088567219305
C5H12O_2025-12-26T21:51:53.946543,c574721d6fb679c1370f33fb26d4c5bb886b7696,2025-12-26T21:51:53.971844,C5H12O,P_exact,6,12000,2000,600,4,0,1.0,0.0,0.2,0.5,0.5,0.0,14,14,1.0,0.0034420393505754177,0.003520869411735062,0.8745833333333334,2100,0.12087912087912088,1e-09,0.0,alcohol,ether,8,6,0,True,False,0.8723248881119067,0.8723248881119067,0.12692343552763674,1.1685994017333938,12,3,False,0.8723248881119067,0.8723248881119067,11.960121066796006,0.8320028194741365,0.12692343552763674,8.936943958371366,8.810020522843729
C5H13N_2025-12-26T21:51:55.053973,c574721d6fb679c1370f33fb26d4c5bb886b7696,2025-12-26T21:51:55.079712,C5H13N,P_exact,6,12000,2000,600,4,0,1.0,0.0,0.2,0.5,0.5,0.0,17,17,1.0,0.005288703936575616,0.005069755845662886,0.8951666666666667,2100,0.08823529411764706,1e-09,0.0,primary_amine,secondary_amine,8,6,3,False,False,0.8723248881119057,0.8723248881119057,0.09942343552763688,0.9154035800628443,12,3,False,0.8723248881119057,0.8723248881119057,10.209917799212576,0.7088067154307304,0.09942343552763688,9.038193958371368,8.93877052284373
